store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit cost,costo calculado,precio,costo * qty,utilidad,margen,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T011,Xalapa                        ,15/11/2025,66756,RETAIL,4,CARPETAS,402,PLANEADORES Y AGENDAS,40202,PLANEADORES,20533,OFFICE DEPOT ASIA HOLDING,4020201,50065879,DIVOGA,Marca Externa,10,1594.83,1850,ST,91.128,117.446,159.48,1174.46,420.36,0.2636,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T012,Leon                          ,29/12/2024,39935,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,OFFICEMAX,Marca Propia,1,185.34,215,ST,81.816,126.76,185.34,126.76,58.58,0.3161,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T011,Xalapa                        ,10/08/2025,53814,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30303,REFUERZOS PARA CARPETA,10918,PRODUCTOS DIETRIX,3030301,50094200,OFFICEMAX,Marca Propia,1,37.84,43.9,ST,21.48,26.64,37.84,26.64,11.2,0.296,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T043,Tijuana                       ,07/09/2025,33273,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,20533,OFFICE DEPOT ASIA HOLDING,9050101,50113147,OFFICEMAX,Marca Propia,1,112.04,121,ST,35.976,73.25,99.14,73.25,38.79,0.3462,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz                        ,12/07/2025,85334,RETAIL,4,CARPETAS,406,TABLAS SUJETA DOCUMENTOS,40603,TABLAS METALICAS,20533,OFFICE DEPOT ASIA HOLDING,4060301,50069412,OFFICEMAX,Marca Propia,1,180.17,209,ST,108.072,134.12,180.17,134.12,46.05,0.2556,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas                      ,18/08/2025,72712,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30302,ETIQUETAS DE IMPRESION,11413,POCHTECA PAPEL,3030201,50076882,OFFICEMAX,Marca Propia,1,132.16,153.3,ST,122.16,117.62,188.79,117.62,14.54,0.11,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T007,Veracruz                      ,30/03/2024,52512,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30602,TARJETAS INDICE COLORES,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060201,50068871,OXFORD,Marca Externa,1,54.22,62.9,ST,29.412,39.37,25,39.37,14.85,0.274,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T014,Metepec                       ,22/01/2025,94922,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,,Marca Externa,1,185.34,215,ST,81.816,126.76,185.34,126.76,58.58,0.3161,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T035,Gran Plaza                    ,04/12/2025,97381,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,20533,OFFICE DEPOT ASIA HOLDING,9020201,50069991,OFFICEMAX,Marca Propia,1,50,58,ST,19.236,36.23,50,36.23,13.77,0.2754,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T020,Mariano Otero                 ,02/03/2024,85199,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90803,PERFORADORAS DE 2 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080301,50065898,OFFICEMAX,Marca Propia,1,68.54,79.5,ST,16.104,40.16,68.54,40.16,28.37,0.414,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T047,Los Cabos                     ,30/05/2024,7119,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90203,PEGAMENTOS DE CONTACTO,10764,INDUSTRIAS KOLA LOKA,9020301,50064299,KOLA LOKA,Marca Externa,1,23.71,27.5,ST,16.572,18.76,25,18.76,4.95,0.2088,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T051,Gomez Morin                   ,10/01/2026,58716,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,12175,ACCO MEXICANA,9050101,50033288,BARRILITO,Marca Externa,1,98.28,114,ST,58.74,75.82,77.5,75.82,22.46,0.2286,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T001,San Jeronimo                  ,07/09/2025,14656,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90901,ARTICULOS DE MONTAJE,10254,VELCRO DE MEXICO,9090101,50077330,VELCRO,Marca Externa,1,31.9,37,ST,18.6,24.28,24.91,24.28,7.62,0.239,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T053,La Paz                        ,13/02/2025,65048,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,OFFICEMAX,Marca Propia,2,43.97,51,ST,8.232,15.445,21.98,30.89,13.07,0.2974,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T045,Chihuahua Mirador             ,19/09/2025,13737,RETAIL,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,12175,ACCO MEXICANA,4070103,50111554,ACCO,Marca Externa,2,267.24,310,ST,79.068,99.775,133.62,199.55,67.69,0.2533,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T041,Queretaro II                  ,16/06/2025,53259,RETAIL,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,4070102,50011854,CARDINAL,Marca Externa,1,45.26,52.5,ST,29.46,34.91,45.26,34.91,10.35,0.2288,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
T012,Leon                          ,16/11/2024,35958,RETAIL,10,ARTICULOS ESCOLARES,1007,MARCATEXTOS,100702,MARCATEXTOS DE GEL,12107,NEWELL BRANDS DE MEXICO,10070201,50127858,NEWELL BRA,Marca Externa,1,71.81,83.3,ST,80.52,66.41,102.59,66.41,5.41,0.0753,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T040,Americas                      ,06/03/2024,35223,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90903,GANCHOS DE MONTAJE,10254,VELCRO DE MEXICO,9090301,50099867,VELCRO,Marca Externa,2,136.04,157.8,ST,49.908,54.805,68.02,109.61,26.43,0.1943,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
