store_nbr,store_nm,tran_date,tran_nbr,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,apparent_unit_cost,costo_calculado,precio,costo_x_qty,utilidad,margen,estatus,ecologicos,clasificacion_retail,estatus_operativo,-10%,-5%,5%,10%,-10%_dup,-5%_dup,5%_dup,10%_dup,unnamed:_39,precio_real,beta_utilizada,tipo_ventana_beta,sensibilidad_precio,en_analisis,precio_nuevo_menos_10pct,unidades_sim_menos_10pct,ingresos_sim_menos_10pct,precio_nuevo_menos_5pct,unidades_sim_menos_5pct,ingresos_sim_menos_5pct,precio_nuevo_mas_5pct,unidades_sim_mas_5pct,ingresos_sim_mas_5pct,precio_nuevo_mas_10pct,unidades_sim_mas_10pct,ingresos_sim_mas_10pct,ingresos_reales
T011,Xalapa                        ,2025-11-15,66756,RETAIL,4,CARPETAS,402,PLANEADORES Y AGENDAS,40202,PLANEADORES,20533,OFFICE DEPOT ASIA HOLDING,4020201,50065879,DIVOGA,Marca Externa,10,1594.83,1850.0,ST,91.128,117.446,159.48,1174.46,420.36,0.2636,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,143.532,151.506,167.454,175.428,9.0,9.5,10.5,11.0,,159.483,,No_analizado,No_en_analisis,False,143.53,10.0,1435.3,151.51,10.0,1515.1,167.46,10.0,1674.6,175.43,10.0,1754.3,1594.83
T012,Leon                          ,2024-12-29,39935,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,OFFICEMAX,Marca Propia,1,185.34,215.0,ST,81.816,126.76,185.34,126.76,58.58,0.3161,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,166.806,176.073,194.607,203.874,0.9,0.95,1.05,1.1,,185.34,,No_analizado,No_en_analisis,False,166.81,1.0,166.81,176.07,1.0,176.07,194.61,1.0,194.61,203.87,1.0,203.87,185.34
T011,Xalapa                        ,2025-08-10,53814,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30303,REFUERZOS PARA CARPETA,10918,PRODUCTOS DIETRIX,3030301,50094200,OFFICEMAX,Marca Propia,1,37.84,43.9,ST,21.48,26.64,37.84,26.64,11.2,0.296,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,34.056,35.948,39.732,41.624,0.9,0.95,1.05,1.1,,37.84,,No_analizado,No_en_analisis,False,34.06,1.0,34.06,35.95,1.0,35.95,39.73,1.0,39.73,41.62,1.0,41.62,37.84
T043,Tijuana                       ,2025-09-07,33273,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,20533,OFFICE DEPOT ASIA HOLDING,9050101,50113147,OFFICEMAX,Marca Propia,1,112.04,121.0,ST,35.976,73.25,99.14,73.25,38.79,0.3462,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,89.226,94.183,104.097,109.054,0.9,0.95,1.05,1.1,,112.04,,No_analizado,No_en_analisis,False,100.84,1.0,100.84,106.44,1.0,106.44,117.64,1.0,117.64,123.24,1.0,123.24,112.04
T053,La Paz                        ,2025-07-12,85334,RETAIL,4,CARPETAS,406,TABLAS SUJETA DOCUMENTOS,40603,TABLAS METALICAS,20533,OFFICE DEPOT ASIA HOLDING,4060301,50069412,OFFICEMAX,Marca Propia,1,180.17,209.0,ST,108.072,134.12,180.17,134.12,46.05,0.2556,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,162.153,171.1615,189.1785,198.187,0.9,0.95,1.05,1.1,,180.17,,No_analizado,No_en_analisis,False,162.15,1.0,162.15,171.16,1.0,171.16,189.18,1.0,189.18,198.19,1.0,198.19,180.17
T040,Americas                      ,2025-08-18,72712,RETAIL,3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30302,ETIQUETAS DE IMPRESION,11413,POCHTECA PAPEL,3030201,50076882,OFFICEMAX,Marca Propia,1,132.16,153.3,ST,122.16,117.62,188.79,117.62,14.54,0.11,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,169.911,179.3505,198.2295,207.669,0.9,0.95,1.05,1.1,,132.16,0.0,No_significativo,Baja_sensibilidad,True,118.94,1.0,118.94,125.55,1.0,125.55,138.77,1.0,138.77,145.38,1.0,145.38,132.16
T007,Veracruz                      ,2024-03-30,52512,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30602,TARJETAS INDICE COLORES,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060201,50068871,OXFORD,Marca Externa,1,54.22,62.9,ST,29.412,39.37,25.0,39.37,14.85,0.274,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,22.5,23.75,26.25,27.5,0.9,0.95,1.05,1.1,,54.22,,No_analizado,No_en_analisis,False,48.8,1.0,48.8,51.51,1.0,51.51,56.93,1.0,56.93,59.64,1.0,59.64,54.22
T014,Metepec                       ,2025-01-22,94922,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90505,ENGRAPADORAS USO RUDO,20533,OFFICE DEPOT ASIA HOLDING,9050501,50065894,,Marca Externa,1,185.34,215.0,ST,81.816,126.76,185.34,126.76,58.58,0.3161,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,166.806,176.073,194.607,203.874,0.9,0.95,1.05,1.1,,185.34,,No_analizado,No_en_analisis,False,166.81,1.0,166.81,176.07,1.0,176.07,194.61,1.0,194.61,203.87,1.0,203.87,185.34
T035,Gran Plaza                    ,2025-12-04,97381,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90202,PEGAMENTO BLANCO,20533,OFFICE DEPOT ASIA HOLDING,9020201,50069991,OFFICEMAX,Marca Propia,1,50.0,58.0,ST,19.236,36.23,50.0,36.23,13.77,0.2754,A,No EcolÂ¾gico,Tienda Igual Retail,Activa,45.0,47.5,52.5,55.0,0.9,0.95,1.05,1.1,,50.0,,No_analizado,No_en_analisis,False,45.0,1.0,45.0,47.5,1.0,47.5,52.5,1.0,52.5,55.0,1.0,55.0,50.0
T020,Mariano Otero                 ,2024-03-02,85199,RETAIL,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90803,PERFORADORAS DE 2 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,9080301,50065898,OFFICEMAX,Marca Propia,1,68.54,79.5,ST,16.104,40.16,68.54,40.16,28.37,0.414,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,61.686,65.113,71.967,75.394,0.9,0.95,1.05,1.1,,68.54,,No_analizado,No_en_analisis,False,61.69,1.0,61.69,65.11,1.0,65.11,71.97,1.0,71.97,75.39,1.0,75.39,68.54
T047,Los Cabos                     ,2024-05-30,7119,RETAIL,9,SUMINISTROS DE OFICINA,902,PEGAMENTOS Y ADHESIVOS,90203,PEGAMENTOS DE CONTACTO,10764,INDUSTRIAS KOLA LOKA,9020301,50064299,KOLA LOKA,Marca Externa,1,23.71,27.5,ST,16.572,18.76,25.0,18.76,4.95,0.2088,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,22.5,23.75,26.25,27.5,0.9,0.95,1.05,1.1,,23.71,,No_analizado,No_en_analisis,False,21.34,1.0,21.34,22.52,1.0,22.52,24.9,1.0,24.9,26.08,1.0,26.08,23.71
T051,Gomez Morin                   ,2026-01-10,58716,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90501,ENGRAPADORAS 1/2 TIRA,12175,ACCO MEXICANA,9050101,50033288,BARRILITO,Marca Externa,1,98.28,114.0,ST,58.74,75.82,77.5,75.82,22.46,0.2286,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,69.75,73.625,81.375,85.25,0.9,0.95,1.05,1.1,,98.28,,No_analizado,No_en_analisis,False,88.45,1.0,88.45,93.37,1.0,93.37,103.19,1.0,103.19,108.11,1.0,108.11,98.28
T001,San Jeronimo                  ,2025-09-07,14656,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90901,ARTICULOS DE MONTAJE,10254,VELCRO DE MEXICO,9090101,50077330,VELCRO,Marca Externa,1,31.9,37.0,ST,18.6,24.28,24.91,24.28,7.62,0.239,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,22.419,23.6645,26.1555,27.401,0.9,0.95,1.05,1.1,,31.9,,No_analizado,No_en_analisis,False,28.71,1.0,28.71,30.3,1.0,30.3,33.49,1.0,33.49,35.09,1.0,35.09,31.9
T053,La Paz                        ,2025-02-13,65048,RETAIL,9,SUMINISTROS DE OFICINA,905,ENGRAPADORAS,90507,DESENGRAPADORAS,20533,OFFICE DEPOT ASIA HOLDING,9050701,50074162,OFFICEMAX,Marca Propia,2,43.97,51.0,ST,8.232,15.445,21.98,30.89,13.07,0.2974,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,19.782,20.881,23.079,24.178,1.8,1.9,2.1,2.2,,21.985,,No_analizado,No_en_analisis,False,19.79,2.0,39.58,20.89,2.0,41.78,23.08,2.0,46.16,24.18,2.0,48.36,43.97
T045,Chihuahua Mirador             ,2025-09-19,13737,RETAIL,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,12175,ACCO MEXICANA,4070103,50111554,ACCO,Marca Externa,2,267.24,310.0,ST,79.068,99.775,133.62,199.55,67.69,0.2533,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,120.258,126.939,140.301,146.982,1.8,1.9,2.1,2.2,,133.62,,No_analizado,No_en_analisis,False,120.26,2.0,240.52,126.94,2.0,253.88,140.3,2.0,280.6,146.98,2.0,293.96,267.24
T041,Queretaro II                  ,2025-06-16,53259,RETAIL,4,CARPETAS,407,SEPARADORES,40701,SEPARADORES PLASTICOS,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,4070102,50011854,CARDINAL,Marca Externa,1,45.26,52.5,ST,29.46,34.91,45.26,34.91,10.35,0.2288,A,No EcolÂ¾gico,Tienda Igual Retail,Activa,40.734,42.997,47.523,49.786,0.9,0.95,1.05,1.1,,45.26,,No_analizado,No_en_analisis,False,40.73,1.0,40.73,43.0,1.0,43.0,47.52,1.0,47.52,49.79,1.0,49.79,45.26
T012,Leon                          ,2024-11-16,35958,RETAIL,10,ARTICULOS ESCOLARES,1007,MARCATEXTOS,100702,MARCATEXTOS DE GEL,12107,NEWELL BRANDS DE MEXICO,10070201,50127858,NEWELL BRA,Marca Externa,1,71.81,83.3,ST,80.52,66.41,102.59,66.41,5.41,0.0753,T,No EcolÂ¾gico,Tienda Igual Retail,Activa,92.331,97.4605,107.7195,112.849,0.9,0.95,1.05,1.1,,71.81,,No_analizado,No_en_analisis,False,64.63,1.0,64.63,68.22,1.0,68.22,75.4,1.0,75.4,78.99,1.0,78.99,71.81
T040,Americas                      ,2024-03-06,35223,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90903,GANCHOS DE MONTAJE,10254,VELCRO DE MEXICO,9090301,50099867,VELCRO,Marca Externa,2,136.04,157.8,ST,49.908,54.805,68.02,109.61,26.43,0.1943,N,No EcolÂ¾gico,Tienda Igual Retail,Activa,61.218,64.619,71.421,74.822,1.8,1.9,2.1,2.2,,68.02,,No_analizado,No_en_analisis,False,61.22,2.0,122.44,64.62,2.0,129.24,71.42,2.0,142.84,74.82,2.0,149.64,136.04
