prod_nbr,marca_fabricante,tipo_marca,prod_nm,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,mess_unit,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
844748,SN,Marca Externa,PALETA PAYASO 45GRS,41,,4116,NON SEASONAL CANDY,411600,,2849,PRODUCTOS RICOLINO,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50014783,DANPEX,Marca Externa,PROFOLIO CONVENCIONES NEGRO,4,CARPETAS,409,PADFOLIOS Y TARJETEROS,40901,PADFOLIOS Y PORTABLOCKS,10223,INDUSTRIAS DANPEX,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50020491,AVERY,Marca Externa,"ETIQUETA ADH CIR NJA 3/4"" 1008",3,ARCHIVO Y ACCESORIOS,303,ETIQUETAS,30301,ETIQUETAS ADHESIVAS,12056,GRUPO COMERCIAL DI LEON,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029818,,Marca Externa,COPIAS BN CARTA 1-100,50,COPYMAX,5001,COPIAS BLANCO Y NEGRO,500102,COPIAS RAPIDAS CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029879,,Marca Externa,IMP. BN OFICIO 251-500 .,50,COPYMAX,5004,IMPRESIONES DIGITALES BN,500402,IMPRESIONES DIG. OFICIO,SIN PROVEEDOR,SIN PROVEEDOR,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
50029947,,Marca Externa,ENGARG.MET.PLAS. OF 181,50,COPYMAX,5008,ENGARGOLADOS  OFICIO,500801,ENGARG. MET.PLAS. OFICIO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50045871,,Marca Externa,CART. ASTROPARCHE AMA 200G,50,COPYMAX,5006,PAPELES ESPECIALES,500604,CARTULINAS FINAS Y TEXTUR,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50060614,ALFRA,Marca Externa,PINTARRON IGLU 30X40,11,ARTE Y DISENO,1101,PIZARRONES Y ACCESORIOS,110101,PIZARRONES BLANCOS,10188,PINTARRON ALFRA,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50060923,,Marca Externa,HOJA BOND ECO CTA.,50,COPYMAX,5017,SERVICIOS VARIOS PROMO,501702,SERVICIO ECOLOGICO,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50061986,OFFICEMAX,Marca Propia,CARPETA PRES C/10 MICAS BC OMX,4,CARPETAS,403,PROTECTORES,40302,MULTIMICAS,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50065897,OFFICEMAX,Marca Propia,PERFORADORA SENCILLA TRIPLE,9,SUMINISTROS DE OFICINA,908,PERFORADORAS,90802,PERFORADORA DE 3 ORIFICIOS,20533,OFFICE DEPOT ASIA HOLDING,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
50070561,,Marca Externa,IMPRESIONES B/N T/CARTA,50,COPYMAX,5004,IMPRESIONES DIGITALES BN,500401,IMPRESIONES DIG. CARTA,10295,SIN PROVEEDOR,ST,A,No EcolÂ¾gico,Tienda Igual Retail,Activa
50072928,OFFICEMAX,Marca Propia,CINTA EMP OMX TRANS 48X150 2PZS,7,CORREO Y PAQUETERIA,701,CINTAS DE EMPAQUE,70101,CINTA DE EMPAQUE,10155,JANEL,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
