prod_nbr,prod_nm,dept_cd,apparent_unit_cost
50031637,ENVIOS CALL CENTER,61,0.02
50052054,PROMOCION MAXPUNTOS CUPON 45,61,0.021
50054084,ARMADO CENTRO DE COMPUTO,61,0.021
50054085,ARMADO DE LIBREROS,61,0.021
50054086,ARMADO DE ESCRITORIO,61,0.021
50054087,ARMADO COLECCIONES,61,0.021
50054088,ARMADO SILLAS,61,0.021
50054089,ARMADO  ARCHIVEROS,61,0.021
50061634,ARMADO DE ACCESORIOS,61,0.021
50064578,TARJETA MAX PUNTOS,61,0.021
50065199,PLAYA DEL CARMEN,61,0.021
50068846,BOLSAS OFFICEMAX,61,3.014085246
50070226,TARJ. STARBUCKS MEX $150.00,23,299.565
50070227,TARJ. STARBUCKS MEX $250.00,23,499.275
50070228,TARJ. STARBUCKS MEX $400.00,23,712.4811892
50070233,TARJ. PAYSAFECARD 500MXN,23,1020.6
50070705,PR 12M MUEBLES DE 5001 A 7500.,62,514.0400192
50070953,GE1APC10001-15000,62,1029
50071343,CLORO EN PORRON 20L,61,0.021
50078006,TARJETA NINTENDO $200,23,384.72
50078007,TARJETA NINTENDO $500,23,961.8
50079000,TARJETA SPOTIFY $300,23,594.72
50079001,TARJETA SPOTIFY $600,23,1189.44
50080610,SHARPIE SINGLES DISPLAY OMX,61,0.021
50082677,ITUNES $200,23,378
50082678,ITUNES $300,23,567
50082679,ITUNES $600,23,1134
50082973,BOLSAS PARA BASURA GRANDE,90,0.021
50083053,CAJA MAX 7,90,0.021
50083872,CABECERA CASIO 2017,61,0.021
50087051,"ARMADO ESTACION ""L""",61,0.021
50087052,ARMADO ESTACION RECTA,61,0.021
50089285,TIEMPO AIRE IUSACELL $50.00,22,81.87324406
50089286,TIEMPO AIRE IUSACELL $100.00,22,163.5713588
50089288,TIEMPO AIRE IUSACELL $150.00,22,243.8015596
50089290,TIEMPO AIRE MOVISTAR $10.00,22,16.37911976
50089292,TIEMPO AIRE TELCEL $20.00,22,33.14654441
50089293,TIEMPO AIRE IUSACELL $200.00,22,324.4342097
50089295,TIEMPO AIRE IUSACELL $300.00,22,473.64275
50089296,TIEMPO AIRE TELCEL $30.00,22,49.54058648
50089297,TIEMPO AIRE MOVISTAR $20.00,22,33.18338328
50089298,TIEMPO AIRE IUSACELL $500.00,22,617.799
50089299,TIEMPO AIRE MOVISTAR $30.00,22,49.61306019
50089300,TIEMPO AIRE UNEFON $50.00,22,82.20233205
50089302,TIEMPO AIRE TELCEL $50.00,22,83.32105714
50089303,TIEMPO AIRE UNEFON $100.00,22,160.1904194
50089304,TIEMPO AIRE MOVISTAR $50.00,22,84.3676433
50089305,TIEMPO AIRE TELCEL $100.00,22,167.6387654
50089306,TIEMPO AIRE UNEFON $150.00,22,239.4711634
50089307,TIEMPO AIRE TELCEL $150.00,22,247.16388
50089308,TIEMPO AIRE UNEFON $200.00,22,309.4004268
50089309,TIEMPO AIRE MOVISTAR $60.00,22,101.304
50089310,TIEMPO AIRE TELCEL $200.00,22,334.36938
50089311,TIEMPO AIRE UNEFON $300.00,22,314.5208182
50089312,TIEMPO AIRE MOVISTAR $100.00,22,166.601516
50089313,TIEMPO AIRE TELCEL $300.00,22,478.5457297
50089314,TIEMPO AIRE UNEFON $500.00,22,164.7618
50089315,TIEMPO AIRE MOVISTAR $120.00,22,184.191
50089317,TIEMPO AIRE TELCEL $500.00,22,811.5326625
50089319,TIEMPO AIRE MOVISTAR $150.00,22,245.9079
50089321,TIEMPO AIRE NEXTEL $30.00,22,26.38152632
50089322,TIEMPO AIRE MOVISTAR $200.00,22,333.0963937
50089324,TIEMPO AIRE NEXTEL $50.00,22,22.46111538
50089325,TIEMPO AIRE MOVISTAR $250.00,22,211.0605
50089326,TIEMPO AIRE MOVISTAR $300.00,22,379.89525
50089327,TIEMPO AIRE NEXTEL $100.00,22,34.40170588
50089328,TIEMPO AIRE NEXTEL $200.00,22,0.021
50090702,TIEMPO AIRE MOVISTAR $300.00,22,0.021
50090984,REEMPLAZO 501-750 12 MESES,62,94.5
50090985,REEMPLAZO 751-1000 12 MESES,62,109.2
50090986,REEMPLAZO 1001-1250 12 MESES,62,102.38025
50090987,REEMPLAZO 1251-1500 12 MESES,62,170.1
50090988,REEMPLAZO 1501-2000 12 MESES,62,216.698526
50090990,REEMPLAZO 2001-2250 12 MESES,62,262.5
50090991,REEMPLAZO 2251-2500 12 MESES,62,293.37
