prod_nbr,prod_nm,dept_cd,estimated_unit_price
50091091,GE ELECTRONICOS 8001-10000 24M,62,887.07
50098169,COMISION SERVICIO CFE,23,10
50091000,RMUEBLES 5001-7500 12 MESES,62,507.76
50068846,BOLSAS OFFICEMAX,61,15
50091088,GE ELECTRONICOS 5001-6000 24M,62,740.52
50054086,ARMADO DE ESCRITORIO,61,172.41
50090999,RMUEBLES 4001-5000 12 MESES,62,378.45
50098167,COMISION SERVICIO IZZI,23,14
50054085,ARMADO DE LIBREROS,61,129.31
50054088,ARMADO SILLAS,61,60.34
50087051,"ARMADO ESTACION ""L""",61,215.52
50090990,REEMPLAZO 2001-2250 12 MESES,62,230.56
50091076,GE ELECTRONICOS 4001-5000 12M,62,266.38
50101027,COMISION SERVICIO GAS NATURAL,23,7
50091078,GARANTIA ELECTRO 6001-7000 12M,62,326.72
50091010,GE COMPUTO 20001-25000 12M,62,930.17
50091006,GE COMPUTO 10001-12000 12M,62,568.1
50054087,ARMADO COLECCIONES,61,215.52
50101032,COMISION SERVICIO MEGACABLE,23,8
50090998,RMUEBLES 3001-4000 12 MESES,62,309.48
50098164,COMISION SERVICIO TELCEL POSTP,23,8
50070705,PR 12M MUEBLES DE 5001 A 7500.,62,404.31
50091004,GE COMPUTO 6001-8000 12 MESES,62,464.66
50091050,GE COMPUTO 6001-8000 24M,62,1059.48
50054084,ARMADO CENTRO DE COMPUTO,61,172.41
50091090,GE ELECTRONICOS 7001-8000 24M,62,843.97
50091052,GE COMPUTO 8001-10000 24M,62,1119.83
50091002,GE COMPUTO 3001-4000 12 MESES,62,240.52
50098163,COMISION SERVICIO DISH,23,8
50087052,ARMADO ESTACION RECTA,61,172.41
50091077,GARANTIA ELECTRO 5001-6000 12M,62,318.1
50101030,COMISION SERV SIAPA AGUA GDL,23,6
50091009,GE COMPUTO 16001-20000 12M,62,852.59
50098166,COMISION SERVICIO I+D (PASE),23,8.5
50098168,COMISION SERVICIO SKY/VETV,23,10
1077428816,RSXXI CANASTA CON ASAS GRIS 32X42,BD,300.8625
1077431625,AMOS GOMITAS PEELERZ DE BANANA 65 GR,BB,55
50091045,GE COMPUTO 3001-4000 24M,62,559.48
50101029,COMISION SERV AGUA/DREN MTY,23,7
50112096,TARIMA,61,0.01
50061634,ARMADO DE ACCESORIOS,61,129.31
50091049,GE COMPUTO 4001-6000 24M,62,542.24
50054089,ARMADO ARCHIVEROS,61,129.31
50091080,GE ELECTRONICOS 8001-10000 12M,62,395.69
50052054,PROMOCION MAXPUNTOS CUPON 45,61,0.01
50091059,GE COMPUTO 16001-20000 24M,62,1956.04
50091054,GE COMPUTO 10001-12000 24M,62,1292.24
50091007,GE COMPUTO 12001-14000 12M,62,662.93
50091001,RMUEBLES 7501-10000 12 MESES,62,687.93
50090993,REEMPLAZO 2751-3000 12 MESES,62,292.24
50090988,REEMPLAZO 1501-2000 12 MESES,62,180.17
50091005,GE COMPUTO 8001-10000 12 MESES,62,473.28
50100535,ENVIOS CALL CENTER ASEGURADO,61,290
1077431624,AMOS GOMITAS PEELERZ DE MANGO 65 GR,BB,55
50091008,GE COMPUTO 14001-16000 12M,62,706.04
50091087,GE ELECTRONICOS 4001-5000 24M,62,602.59
50091086,GE ELECTRONICOS 3001-4000 24M,62,464.66
50091079,GE ELECTRONICOS 7001-8000 12M,62,378.45
50091089,GARANTIA ELECTRO 6001-7000 24M,62,775
50091057,GE COMPUTO 14001-16000 24M,62,1628.45
50112596,ARMADO ESCRITORIO EN L,61,283.62
50098160,COMISION SERVICIO TELMEX,23,10
