store_nbr,store_nm,tran_date,bl,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,gpo_compra,prod_nbr,marca,tipo_marca,qty,net_sale,venta_con_iva,mess_unit,Estatus,Ecologicos,clasificacion_retail,estatus_operativo
T001,San Jeronimo,2024-08-14,RETAIL,10,ARTICULOS ESCOLARES,1006,MOCHILAS,100602,MOCHILAS UNIVERSITARIAS,12456,CHENSON NYLON DE MEXICO,10060203,50128001,CHENSON,Marca Externa,1,602.84,699.3,ST,T,No EcolÂ¾gico,Tienda Igual Retail,Activa
T009,Coyoacan,2024-05-25,RETAIL,12,SEGURIDAD Y MANTENIMIENTO,1201,FERRETERIA,120101,HERRAMIENTAS,11987,D CASTRO IMPORTADORES DE,12010101,50095715,SILVERLINE,Marca Externa,1,50.86,59,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T059,Esmeralda,2024-06-10,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082227,,Marca Externa,1,29,29,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T048,Tlaquepaque,2025-01-04,RETAIL,50,COPYMAX,5018,SELLOS,501803,SELLOS INSTANTANEOS,10295,SIN PROVEEDOR,50180301,50029377,,Marca Externa,1,262.93,305,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T010,Cancun,2024-08-14,RETAIL,17,LIBROS,1702,INFANTILES,170201,LIBROS INFANTILES,10865,EDICIONES LAROUSSE,17020102,50096732,OFFICEMAX,Marca Propia,1,169,169,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T002,Interlomas,2024-03-06,RETAIL,10,ARTICULOS ESCOLARES,1020,BLOCKS,102001,BLOCKS CARTA,20533,OFFICE DEPOT ASIA HOLDING,10200101,50063593,VIRTUO,Marca Externa,1,116.38,135,ST,D,No EcolÂ¾gico,Tienda Igual Retail,Activa
T022,Roma,2026-02-08,RETAIL,3,ARCHIVO Y ACCESORIOS,306,TARJETAS Y TARJETEROS,30603,TARJETAS RAYA Y CUADRO,11854,LSC COMMUNICATIONS PENDAFLEX MEXICO,3060301,50029457,OXFORD,Marca Externa,1,30.09,34.9,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T008,Guadalajara,2025-10-02,RETAIL,18,CHECKOUT,1806,PILAS,180601,PILAS ALCALINAS,11928,ENERGIZER MEXICO,18060101,50102450,ENERGIZER,Marca Externa,1,171.55,199,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T028,San Luis Potosi,2025-02-21,RETAIL,5,FORMAS DE NEGOCIO,502,LIBROS CONTABLES,50201,LIBROS CONTABLES,13557,TALLERES ESTRELLA,5020101,50027266,ESTRELLA,Marca Externa,7,1105.52,1282.4,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T063,Aguascalientes,2025-11-16,RETAIL,9,SUMINISTROS DE OFICINA,909,ARTICULOS DE MONTAJE,90902,CINTAS DE MONTAJE,11496,"3M MEXICO,",9090201,50090628,SCOTCH,Marca Externa,1,300.86,349,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
T061,Mexicali,2024-07-07,RETAIL,18,CHECKOUT,1803,COFFEE BREAK,180302,GALLETAS Y PAN,11891,BIMBO,18030201,50082228,,Marca Externa,1,26.1,26.1,ST,N,No EcolÂ¾gico,Tienda Igual Retail,Activa
