prod_nbr,fecha,mes,precio,qty,promocion,descuento,venta_neta,transacciones,prod_nm,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,marca_fabricante,tipo_marca,estimated_unit_price,promociones_detectadas
50010638,2025-03-27,2025-03,335.34,1,0,0.0,335.34,1,CINTA DYMO P/ROT 12MM NGO/TRAN,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,12118,NEWELL BRANDS DE MEXICO,DYMO,Marca Externa,100.6,
50011569,2024-02-06,2024-02,240.52,1,0,0.0,240.52,1,CINTA P/ROTULADOR BROTHER M931 12MM N/P,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,,
50011573,2024-02-02,2024-02,438.79,1,0,0.0,438.79,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-05-21,2024-05,438.79,1,0,0.0,438.79,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-06-04,2024-06,263.28,2,0,0.0,526.56,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-06-30,2024-06,438.79,1,0,0.0,438.79,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-07-09,2024-07,438.79,1,0,0.0,438.79,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-12-04,2024-12,335.34,1,0,0.0,335.34,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-02-20,2025-02,234.74,3,0,0.0,704.22,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-07-01,2025-07,285.044,5,0,0.0,1425.22,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-08-07,2025-08,285.04,2,0,0.0,570.08,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-08-26,2025-08,285.045,2,0,0.0,570.09,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-10-20,2025-10,285.04,1,0,0.0,285.04,1,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011575,2024-01-09,2024-01,227.07000000000002,3,0,0.0,681.21,1,CINTA BROTHER TZE231 NGO/BNCO,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,275.0,
