prod_nbr,fecha,mes,precio,qty,promocion,descuento,venta_neta,transacciones,prod_nm,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,marca_fabricante,tipo_marca,estimated_unit_price,promociones_detectadas
50014835,2024-02-21,2024-02,257.76,1,0,0.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-02-27,2024-02,257.76,1,0,0.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-05-17,2024-05,257.76,1,0,0.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-07-23,2024-07,257.76,1,0,0.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-07-25,2024-07,257.76,1,0,0.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-08-15,2024-08,257.76,1,1,6.0,257.76,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,1.0
50014835,2024-11-02,2024-11,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2024-12-02,2024-12,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2025-01-22,2025-01,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2025-06-17,2025-06,188.79,2,0,0.0,377.58,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2025-08-04,2025-08,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2025-08-26,2025-08,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
50014835,2025-09-18,2025-09,188.79,1,0,0.0,188.79,1,PAPEL CARBON T/C NG C/100,6.0,PAPEL,606.0,PAPEL CARBON,60601.0,CARBON CARTA,11556,PELIKAN MEXICO,PELIKAN,Marca Externa,188.79,
