prod_nbr,fecha,mes,unidades_vendidas,precio_promedio,descuento_promedio,indicador_promocion,venta_neta,prod_nm,dept_cd,dept_nm,subdept_cd,subdept_nm,class_cd,class_nm,vendor_nbr,vendor_nm,marca_fabricante,tipo_marca,estimated_unit_price,promociones_detectadas
50010638,2025-03-01,2025-03,1,335.34,0.0,0,335.34,CINTA DYMO P/ROT 12MM NGO/TRAN,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,12118,NEWELL BRANDS DE MEXICO,DYMO,Marca Externa,100.6,
50011569,2024-02-01,2024-02,1,240.52,0.0,0,240.52,CINTA P/ROTULADOR BROTHER M931 12MM N/P,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,,
50011573,2024-02-01,2024-02,1,438.79,0.0,0,438.79,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-05-01,2024-05,1,438.79,0.0,0,438.79,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-06-01,2024-06,3,321.7833333333333,0.0,0,965.3499999999999,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-07-01,2024-07,1,438.79,0.0,0,438.79,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2024-12-01,2024-12,1,335.34,0.0,0,335.34,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-02-01,2025-02,3,234.74,0.0,0,704.22,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-07-01,2025-07,5,285.044,0.0,0,1425.22,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-08-01,2025-08,4,285.0425,0.0,0,1140.17,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011573,2025-10-01,2025-10,1,285.04,0.0,0,285.04,CINTA BROTHER P/ROT 18MMNE-BLA,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,335.34,
50011575,2024-01-01,2024-01,7,227.07,0.0,0,1589.49,CINTA BROTHER TZE231 NGO/BNCO,2,ELECTRONICOS,202,ELECTRONICOS DE OFICINA,20201,ROTULADORES,10523,BROTHER INTERNATIONAL DE MEXICO,BROTHER,Marca Externa,275.0,
