prod_nbr,store_nbr,mes,dept_nm,subdept_nm,class_nm,marca,tipo_marca,vendor_nm,qty,net_sale,venta_con_iva,utilidad,margen,precio_promedio,transacciones,fechas_venta,fecha_mes,precio
50011877,T002,2024-01,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,387.93,450.0,51.57,0.1329,193.97,1,1,2024-01-01,193.965
50011877,T005,2025-05,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,249.14,289.0,53.37,0.2142,193.97,1,1,2025-05-01,249.14
50011877,T008,2024-12,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,193.97,225.0,25.8,0.133,193.97,1,1,2024-12-01,193.97
50011877,T018,2025-01,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,8,1551.72,1800.0,206.26,0.1329,193.97,1,1,2025-01-01,193.965
50011877,T019,2024-02,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,387.93,450.0,51.57,0.1329,193.97,1,1,2024-02-01,193.965
50011877,T061,2025-07,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,ACCESORIOS DE ARCHIVO,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,267.59,289.0,62.59,0.2339,193.97,1,1,2025-07-01,267.59
50011883,T033,2025-06,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,245.69,285.0,51.41,0.2092,245.69,1,1,2025-06-01,245.69
50011886,T016,2025-03,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,297.84,345.5,63.69,0.2138,300.86,1,1,2025-03-01,297.84
50011886,T022,2026-03,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,601.72,698.0,130.4,0.2167,300.86,1,1,2026-03-01,300.86
50011886,T043,2024-07,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,304.63,329.0,67.3,0.2209,300.86,1,1,2024-07-01,304.63
50011886,T072,2024-02,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,283.62,329.0,57.31,0.2021,300.86,1,1,2024-02-01,283.62
50011888,T075,2026-02,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,300.86,349.0,66.61,0.2214,280.17,1,1,2026-02-01,300.86
50011888,T079,2024-05,ARCHIVO Y ACCESORIOS,FOLDERS COLGANTES,FOLDERS COLGANTES,PENDAFLEX,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,280.17,325.0,54.92,0.196,280.17,1,1,2024-05-01,280.17
50011906,T007,2024-10,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE COLORES,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,54.22,62.9,16.77,0.3092,54.22,1,1,2024-10-01,54.22
50011906,T067,2024-04,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE COLORES,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,54.22,62.9,16.79,0.3096,54.22,1,1,2024-04-01,54.22
50011906,T077,2024-04,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE COLORES,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,54.22,62.9,16.77,0.3092,54.22,1,1,2024-04-01,54.22
50011910,T001,2024-08,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.82,0.3179,21.47,1,1,2024-08-01,21.47
50011910,T001,2025-07,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2025-07-01,21.47
50011910,T001,2026-02,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2026-02-01,21.47
50011910,T001,2026-03,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,42.93,49.8,13.64,0.3178,21.47,1,1,2026-03-01,21.465
50011910,T002,2025-04,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,42.94,49.8,13.66,0.3179,21.47,2,2,2025-04-01,21.47
50011910,T002,2025-09,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2025-09-01,21.47
50011910,T004,2024-10,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2024-10-01,21.47
50011910,T005,2024-04,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2024-04-01,21.47
50011910,T006,2025-05,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,42.93,49.8,13.65,0.3179,21.47,1,1,2025-05-01,21.465
50011910,T007,2025-12,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2025-12-01,21.47
50011910,T011,2024-08,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2024-08-01,21.47
50011910,T012,2026-02,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2026-02-01,21.47
50011910,T015,2024-09,ARCHIVO Y ACCESORIOS,TARJETAS Y TARJETEROS,TARJETAS INDICE BLANCAS,OXFORD,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,21.47,24.9,6.83,0.3179,21.47,1,1,2024-09-01,21.47
