prod_nbr,store_nbr,mes,dept_nm,subdept_nm,class_nm,marca,tipo_marca,vendor_nm,qty,net_sale,venta_con_iva,utilidad,margen,precio_promedio,transacciones,fechas_venta,fecha_mes,precio
50012979,T001,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.31,0.2548,75.78,1,1,2024-08-01,75.78
50012979,T001,2024-11,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,4,303.1,351.6,77.75,0.2565,75.78,1,1,2024-11-01,75.775
50012979,T001,2025-11,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,24.28,0.3204,75.78,1,1,2025-11-01,75.78
50012979,T002,2025-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,11.46,0.1891,75.78,1,1,2025-03-01,60.62
50012979,T004,2026-04,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,22.05,0.291,75.78,1,1,2026-04-01,75.78
50012979,T006,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,21.45,0.2831,75.78,1,1,2025-08-01,75.78
50012979,T012,2025-06,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.1,0.2388,75.78,1,1,2025-06-01,75.78
50012979,T014,2024-09,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.04,0.2513,75.78,1,1,2024-09-01,75.78
50012979,T015,2025-12,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,22.62,0.2984,75.78,1,1,2025-12-01,75.78
50012979,T018,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,11.09,0.183,75.78,1,1,2024-08-01,60.62
50012979,T019,2024-05,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,16.21,0.214,75.78,1,1,2024-05-01,75.78
50012979,T019,2026-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,4,303.1,351.6,83.87,0.2767,75.78,1,1,2026-01-01,75.775
50012979,T020,2025-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,2,121.24,140.64,21.02,0.1734,75.78,1,1,2025-01-01,60.62
50012979,T030,2025-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,11.53,0.1902,75.78,1,1,2025-01-01,60.62
50012979,T030,2025-07,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,53.04,61.53,7.74,0.1459,75.78,1,1,2025-07-01,53.04
50012979,T032,2024-05,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,16.22,0.214,75.78,1,1,2024-05-01,75.78
50012979,T036,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,2,151.55,175.8,45.07,0.2974,75.78,1,1,2025-08-01,75.775
50012979,T036,2026-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,2,151.55,175.8,45.59,0.3008,75.78,1,1,2026-03-01,75.775
50012979,T037,2025-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.59,0.2454,75.78,1,1,2025-03-01,75.78
50012979,T040,2024-09,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.2,0.2533,75.78,1,1,2024-09-01,75.78
50012979,T045,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.28,0.2412,75.78,1,1,2025-08-01,75.78
50012979,T046,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,81.39,87.9,21.04,0.2584,75.78,1,1,2024-08-01,81.39
50012979,T047,2025-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,3,227.33,263.7,57.45,0.2527,75.78,1,1,2025-03-01,75.77666666666667
50012979,T047,2025-07,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.15,0.2527,75.78,1,1,2025-07-01,75.78
50012979,T048,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.44,0.2433,75.78,1,1,2025-08-01,75.78
50012979,T048,2026-02,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,2,151.55,175.8,36.87,0.2433,75.78,1,1,2026-02-01,75.775
50012979,T049,2024-09,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.41,0.2562,75.78,1,1,2024-09-01,75.78
50012979,T050,2026-04,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,24.34,0.3213,75.78,1,1,2026-04-01,75.78
50012979,T051,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.18,0.253,75.78,1,1,2024-08-01,75.78
50012979,T051,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,22.4,0.2955,75.78,1,1,2025-08-01,75.78
50012979,T053,2024-10,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.32,0.2418,75.78,1,1,2024-10-01,75.78
50012979,T054,2025-02,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.94,0.2499,75.78,1,1,2025-02-01,75.78
50012979,T054,2025-06,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,2,151.55,175.8,37.87,0.2499,75.78,1,1,2025-06-01,75.775
50012979,T057,2024-12,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,81.39,87.9,22.07,0.2711,75.78,1,1,2024-12-01,81.39
50012979,T057,2026-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,81.39,87.9,22.07,0.2711,75.78,1,1,2026-01-01,81.39
50012979,T059,2025-02,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,2,151.55,175.8,37.5,0.2474,75.78,1,1,2025-02-01,75.775
50012979,T060,2025-05,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.15,0.2527,75.78,1,1,2025-05-01,75.78
50012979,T062,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,53.04,61.53,8.07,0.1522,75.78,1,1,2024-08-01,53.04
50012979,T064,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,13.33,0.2199,75.78,1,1,2025-08-01,60.62
50012979,T066,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.26,0.2542,75.78,1,1,2024-08-01,75.78
50012979,T072,2025-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.19,0.24,75.78,1,1,2025-01-01,75.78
50012979,T075,2024-10,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.03,0.2379,75.78,1,1,2024-10-01,75.78
50012979,T078,2025-07,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,53.04,61.53,10.68,0.2013,75.78,1,1,2025-07-01,53.04
50012979,T078,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,14.46,0.2386,75.78,1,1,2025-08-01,60.62
50012979,T085,2024-11,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.41,0.2429,75.78,1,1,2024-11-01,75.78
50012980,T002,2025-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,20.03,0.2643,75.78,1,1,2025-08-01,75.78
50012980,T004,2025-01,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,60.62,70.32,11.71,0.1932,75.78,1,1,2025-01-01,60.62
50012980,T011,2024-04,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,16.21,0.2138,75.78,1,1,2024-04-01,75.78
50012980,T012,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.21,0.2404,75.78,1,1,2024-08-01,75.78
50012980,T013,2024-02,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,16.21,0.2138,75.78,1,1,2024-02-01,75.78
50012980,T014,2024-09,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,17.63,0.2326,75.78,1,1,2024-09-01,75.78
50012980,T014,2026-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,23.44,0.3093,75.78,1,1,2026-03-01,75.78
50012980,T015,2024-03,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,16.21,0.2138,75.78,1,1,2024-03-01,75.78
50012980,T015,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.87,0.2489,75.78,1,1,2024-08-01,75.78
50012980,T016,2025-02,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.07,0.2385,75.78,1,1,2025-02-01,75.78
50012980,T019,2024-08,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,19.21,0.2535,75.78,1,1,2024-08-01,75.78
50012980,T023,2024-06,ARTICULOS ESCOLARES,BLOCKS,BLOCKS CARTA,SCRIBE,Marca Externa,BIO PAPPEL SCRIBE,1,75.78,87.9,18.22,0.2404,75.78,1,1,2024-06-01,75.78
