prod_nbr,store_nbr,mes,dept_nm,subdept_nm,class_nm,marca,tipo_marca,vendor_nm,qty,net_sale,venta_con_iva,utilidad,margen,precio_promedio,transacciones,fechas_venta,fecha_mes,precio
50011837,T001,2025-11,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,31.81,36.9,9.13,0.2869,31.81,1,1,2025-11-01,31.81
50011837,T008,2024-08,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,60.17,69.8,16.52,0.2746,31.81,1,1,2024-08-01,30.085
50011837,T010,2024-08,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.28,0.275,31.81,1,1,2024-08-01,30.09
50011837,T027,2024-06,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,4,120.34,139.6,33.07,0.2748,31.81,1,1,2024-06-01,30.085
50011837,T040,2024-02,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.27,0.2747,31.81,1,1,2024-02-01,30.09
50011837,T042,2024-07,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.27,0.2748,31.81,1,1,2024-07-01,30.09
50011837,T050,2024-10,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.27,0.2748,31.81,1,1,2024-10-01,30.09
50011837,T053,2024-08,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,2,60.17,69.8,16.56,0.2751,31.81,1,1,2024-08-01,30.085
50011837,T058,2025-05,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,31.81,36.9,9.13,0.2869,31.81,1,1,2025-05-01,31.81
50011837,T064,2024-06,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,5,150.43,174.5,41.34,0.2748,31.81,1,1,2024-06-01,30.086000000000002
50011837,T064,2024-07,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.26,0.2747,31.81,1,1,2024-07-01,30.09
50011837,T066,2024-09,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.27,0.2747,31.81,1,1,2024-09-01,30.09
50011837,T079,2024-11,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,5,150.43,174.5,41.32,0.2747,31.81,1,1,2024-11-01,30.086000000000002
50011837,T080,2024-12,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,30.09,34.9,8.28,0.2752,31.81,1,1,2024-12-01,30.09
50011837,T082,2025-03,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,31.81,36.9,9.13,0.2869,31.81,1,1,2025-03-01,31.81
50011838,T005,2024-12,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,33.19,38.5,8.09,0.2439,33.19,1,1,2024-12-01,33.19
50011838,T011,2025-02,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,33.19,38.5,8.09,0.2437,33.19,1,1,2025-02-01,33.19
50011838,T012,2024-05,CARPETAS,SEPARADORES,SEPARADORES PLASTICOS,CARDINAL,Marca Externa,LSC COMMUNICATIONS PENDAFLEX MEXICO,1,33.19,38.5,8.09,0.2437,33.19,1,1,2024-05-01,33.19
