prod_nbr,store_nbr,mes,dept_nm,subdept_nm,class_nm,marca,tipo_marca,vendor_nm,qty,net_sale,venta_con_iva,utilidad,margen,precio_promedio,transacciones,fechas_venta,fecha_mes,precio
50013479,T001,2024-03,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2024-03-01,33.54
50013479,T002,2024-12,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2024-12-01,33.54
50013479,T004,2024-02,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2024-02-01,33.54
50013479,T004,2025-01,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2025-01-01,33.54
50013479,T004,2025-08,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2025-08-01,33.54
50013479,T004,2026-03,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,36.12,41.9,7.14,0.1977,33.54,1,1,2026-03-01,36.12
50013479,T004,2026-04,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,36.12,41.9,7.14,0.1977,33.54,1,1,2026-04-01,36.12
50013479,T006,2025-11,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,36.12,41.9,7.5,0.2076,33.54,1,1,2025-11-01,36.12
50013479,T007,2025-09,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,36.12,41.9,7.25,0.2009,33.54,1,1,2025-09-01,36.12
50013479,T008,2024-07,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2024-07-01,33.54
50013479,T008,2025-11,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,36.12,41.9,7.62,0.2111,33.54,1,1,2025-11-01,36.12
50013479,T010,2024-02,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,33.54,38.9,6.33,0.1889,33.54,1,1,2024-02-01,33.54
50013479,T010,2025-07,SUMINISTROS DE OFICINA,PEGAMENTOS Y ADHESIVOS,LAPIZ ADHESIVO,PRITT,Marca Externa,"HENKEL CAPITAL,",1,21.13,24.51,0.13,0.0062,33.54,1,1,2025-07-01,21.13
