SKU,n_observaciones,r2,beta_precio,estatus
50011837,15,,,precio constante
50011838,30,,,precio constante
50011851,6,,,n insuficiente
50011852,18,,,precio constante
50011853,31,,,precio constante
50011854,20,,,precio constante
50011855,14,,,precio constante
50011856,13,,,precio constante
50011877,6,,,n insuficiente
50011883,1,,,n insuficiente
50011886,4,,,n insuficiente
50011888,2,,,n insuficiente
50011906,3,,,n insuficiente
50011910,64,,,precio constante
50011911,40,,,precio constante
50011912,24,,,precio constante
50011913,9,,,n insuficiente
50011938,17,,,precio constante
50012251,11,,,n insuficiente
50012263,11,,,n insuficiente
50012292,10,,,n insuficiente
50012298,2,,,n insuficiente
50012299,12,,,precio constante
50012300,7,,,n insuficiente
50012307,7,,,n insuficiente
50012341,10,,,n insuficiente
50012979,45,,,precio constante
50012980,43,,,precio constante
50012981,42,,,precio constante
50012982,34,,,precio constante
50012983,46,,,precio constante
50012984,11,,,n insuficiente
50012985,24,,,precio constante
50013479,92,,,precio constante
50013480,120,,,precio constante
50013481,56,,,precio constante
50013487,27,,,precio constante
50013495,73,,,precio constante
50013496,57,,,precio constante
50013687,17,,,precio constante
50013689,13,,,precio constante
50013724,53,,,precio constante
50013749,43,,,precio constante
50013763,11,,,n insuficiente
50013785,10,,,n insuficiente
50014476,13,,,precio constante
50014477,28,,,precio constante
50014602,15,,,precio constante
50014603,45,,,precio constante
50014782,10,,,n insuficiente
50014783,2,,,n insuficiente
50015288,1,,,n insuficiente
50015290,2,,,n insuficiente
50015293,3,,,n insuficiente
50015294,9,,,n insuficiente
50015295,5,,,n insuficiente
50015297,2,,,n insuficiente
50015357,5,,,n insuficiente
50015508,21,,,precio constante
50015510,17,,,precio constante
50015528,18,,,precio constante
50015529,10,,,n insuficiente
50015530,11,,,n insuficiente
50015531,10,,,n insuficiente
50015770,12,,,precio constante
50015958,28,,,precio constante
50015961,33,,,precio constante
50018285,25,,,precio constante
50019370,6,,,n insuficiente
50019485,2,,,n insuficiente
50019489,2,,,n insuficiente
50019490,2,,,n insuficiente
50020484,3,,,n insuficiente
50020487,2,,,n insuficiente
50020491,14,,,precio constante
50020492,50,,,precio constante
50020493,58,,,precio constante
50020503,11,,,n insuficiente
50022315,7,,,n insuficiente
50022631,9,,,n insuficiente
50022799,55,,,precio constante
50023228,29,,,precio constante
50023474,41,,,precio constante
50024465,5,,,n insuficiente
50024572,27,,,precio constante
50025024,21,,,precio constante
50026417,7,,,n insuficiente
50026534,2,,,n insuficiente
50026535,1,,,n insuficiente
50026536,1,,,n insuficiente
50027181,41,,,precio constante
50027363,43,,,precio constante
50027481,15,,,precio constante
50027482,22,,,precio constante
50027483,1,,,n insuficiente
50027505,7,,,n insuficiente
50027536,2,,,n insuficiente
50027540,9,,,n insuficiente
50027542,8,,,n insuficiente
50027544,25,,,precio constante
50027545,60,,,precio constante
50028181,12,,,precio constante
50028190,9,,,n insuficiente
50029456,30,,,precio constante
50029457,28,,,precio constante
50029482,46,,,precio constante
50030080,1,,,n insuficiente
50031201,8,,,n insuficiente
50031202,5,,,n insuficiente
50031203,3,,,n insuficiente
50031204,15,,,precio constante
50031205,3,,,n insuficiente
50031206,23,,,precio constante
50031207,5,,,n insuficiente
50031208,7,,,n insuficiente
50031210,14,,,precio constante
50031211,1,,,n insuficiente
50031212,7,,,n insuficiente
50031213,15,,,precio constante
50031706,12,,,precio constante
50031938,126,,,precio constante
50031939,38,,,precio constante
50032970,2,,,n insuficiente
50032997,10,,,n insuficiente
50033288,92,,,precio constante
50033292,5,,,n insuficiente
50033295,9,,,n insuficiente
50033813,3,,,n insuficiente
50033918,95,,,precio constante
50033933,21,,,precio constante
50033976,8,,,n insuficiente
50033978,22,,,precio constante
50034108,8,,,n insuficiente
50034203,27,,,precio constante
50034204,19,,,precio constante
50035581,3,,,n insuficiente
50035582,3,,,n insuficiente
50035781,16,,,precio constante
50035784,6,,,n insuficiente
50036867,21,,,precio constante
50037734,73,,,precio constante
50039431,29,,,precio constante
50039566,26,,,precio constante
50039620,7,,,n insuficiente
50040822,4,,,n insuficiente
50040888,11,,,n insuficiente
50040889,37,,,precio constante
50041011,14,,,precio constante
50041012,7,,,n insuficiente
50041324,3,,,n insuficiente
50041695,42,,,precio constante
50042818,28,,,precio constante
50042930,6,,,n insuficiente
50043752,2,,,n insuficiente
50044031,25,,,precio constante
50044491,46,,,precio constante
50044492,21,,,precio constante
50044493,82,,,precio constante
50044494,31,,,precio constante
50044495,72,,,precio constante
50044497,77,,,precio constante
50044499,58,,,precio constante
50045028,12,,,precio constante
50045809,16,,,precio constante
50046575,4,,,n insuficiente
50046576,23,,,precio constante
50046624,23,,,precio constante
50048120,9,,,n insuficiente
50048121,9,,,n insuficiente
50048156,12,,,precio constante
50048157,23,,,precio constante
50048334,2,,,n insuficiente
50048969,8,,,n insuficiente
50048971,30,,,precio constante
50049770,68,,,precio constante
50050603,19,,,precio constante
50051646,9,,,n insuficiente
50051707,6,,,n insuficiente
50051850,3,,,n insuficiente
50051954,50,,,precio constante
50051956,57,,,precio constante
50051957,59,,,precio constante
50052012,9,,,n insuficiente
50053644,10,,,n insuficiente
50054718,17,,,precio constante
50054727,28,,,precio constante
50054802,12,,,precio constante
50055438,16,,,precio constante
50055439,7,,,n insuficiente
50055440,3,,,n insuficiente
50055926,7,,,n insuficiente
50055976,2,,,n insuficiente
50056274,2,,,n insuficiente
50056441,17,,,precio constante
50056446,38,,,precio constante
50056533,40,,,precio constante
50056684,1,,,n insuficiente
50057053,3,,,n insuficiente
50057064,2,,,n insuficiente
50057440,7,,,n insuficiente
50058266,5,,,n insuficiente
50060054,11,,,n insuficiente
50060378,74,,,precio constante
50060379,8,,,n insuficiente
50060380,46,,,precio constante
50060381,18,,,precio constante
50060450,16,,,precio constante
50060451,2,,,n insuficiente
50060607,19,,,precio constante
50060955,36,,,precio constante
50061067,13,,,precio constante
50061068,5,,,n insuficiente
50061069,26,,,precio constante
50061070,12,,,precio constante
50061071,9,,,n insuficiente
50061072,24,,,precio constante
50061073,2,,,n insuficiente
50061121,4,,,n insuficiente
50061122,3,,,n insuficiente
50061329,12,,,precio constante
50061330,25,,,precio constante
50061358,26,,,precio constante
50061359,12,,,precio constante
50061361,47,,,precio constante
50061382,3,,,n insuficiente
50061413,2,,,n insuficiente
50061414,24,,,precio constante
50061415,1,,,n insuficiente
50061416,6,,,n insuficiente
50061417,10,,,n insuficiente
50061418,14,,,precio constante
50061419,10,,,n insuficiente
50061420,20,,,precio constante
50061421,13,,,precio constante
50061430,10,,,n insuficiente
50061431,8,,,n insuficiente
50061432,2,,,n insuficiente
50061433,7,,,n insuficiente
50061434,5,,,n insuficiente
50061435,6,,,n insuficiente
50061436,2,,,n insuficiente
50061437,3,,,n insuficiente
50061438,4,,,n insuficiente
50061439,2,,,n insuficiente
50061463,54,,,precio constante
50061466,17,,,precio constante
50061578,5,,,n insuficiente
50061580,71,,,precio constante
50061599,24,,,precio constante
50061600,34,,,precio constante
50061632,4,,,n insuficiente
50061633,81,,,precio constante
50061645,93,,,precio constante
50061735,209,,,precio constante
50061736,24,,,precio constante
50061737,8,,,n insuficiente
50061739,17,,,precio constante
50061740,35,,,precio constante
50061741,12,,,precio constante
50061742,24,,,precio constante
50061743,34,,,precio constante
50061744,28,,,precio constante
50061745,32,,,precio constante
50061746,13,,,precio constante
50061747,44,,,precio constante
50061842,17,,,precio constante
50061971,67,,,precio constante
50061981,50,,,precio constante
50061982,38,,,precio constante
50061983,41,,,precio constante
50061984,31,,,precio constante
50061985,42,,,precio constante
50061986,34,,,precio constante
50061988,126,,,precio constante
50061989,92,,,precio constante
50061998,396,,,precio constante
50062034,125,,,precio constante
50062046,72,,,precio constante
50062047,229,,,precio constante
50062057,33,,,precio constante
50062073,187,,,precio constante
50062074,232,,,precio constante
50062076,109,,,precio constante
50062078,189,,,precio constante
50062113,214,,,precio constante
50062114,113,,,precio constante
50062115,597,0.32122616931985115,6.692016831900947e-29,valida
50062116,9,,,n insuficiente
50062117,65,,,precio constante
50062118,17,,,precio constante
50062170,148,,,precio constante
50062171,4,,,n insuficiente
50062186,47,,,precio constante
50062187,116,,,precio constante
50062188,76,,,precio constante
50062213,20,,,precio constante
50062256,33,,,precio constante
50062257,25,,,precio constante
