SKU,n_observaciones,r2,beta_precio,estatus
50011877,6,,,n insuficiente
50011883,1,,,n insuficiente
50011886,4,,,n insuficiente
50011888,2,,,n insuficiente
50011906,3,,,n insuficiente
50011910,64,,,precio constante
50011911,40,,,precio constante
50011912,24,,,precio constante
50011913,9,,,n insuficiente
50019485,2,,,n insuficiente
50019489,2,,,n insuficiente
50019490,2,,,n insuficiente
50020484,3,,,n insuficiente
50020487,2,,,n insuficiente
50020491,14,,,precio constante
50020492,50,,,precio constante
50020493,58,,,precio constante
50020503,11,,,n insuficiente
50024465,5,,,n insuficiente
50026417,7,,,n insuficiente
50026534,2,,,n insuficiente
50026535,1,,,n insuficiente
50026536,1,,,n insuficiente
50027481,15,,,precio constante
50027482,22,,,precio constante
50027483,1,,,n insuficiente
50027505,7,,,n insuficiente
50027536,2,,,n insuficiente
50027540,9,,,n insuficiente
50027542,8,,,n insuficiente
50027544,25,,,precio constante
50028190,9,,,n insuficiente
50029456,30,,,precio constante
50029457,28,,,precio constante
50030080,1,,,n insuficiente
50031938,126,,,precio constante
50031939,38,,,precio constante
50032997,10,,,n insuficiente
50033933,21,,,precio constante
50034108,8,,,n insuficiente
50040822,4,,,n insuficiente
50040888,11,,,n insuficiente
50040889,37,,,precio constante
50043752,2,,,n insuficiente
50048334,2,,,n insuficiente
50049770,68,,,precio constante
50052012,9,,,n insuficiente
50053644,10,,,n insuficiente
50055438,16,,,precio constante
50055439,7,,,n insuficiente
50055440,3,,,n insuficiente
50056533,40,,,precio constante
50057053,3,,,n insuficiente
50057064,2,,,n insuficiente
50058266,5,,,n insuficiente
50061121,4,,,n insuficiente
50061122,3,,,n insuficiente
50061382,3,,,n insuficiente
50061413,2,,,n insuficiente
50061414,24,,,precio constante
50061415,1,,,n insuficiente
50061416,6,,,n insuficiente
50061417,10,,,n insuficiente
50061418,14,,,precio constante
50061419,10,,,n insuficiente
50061420,20,,,precio constante
50061421,13,,,precio constante
50061430,10,,,n insuficiente
50061431,8,,,n insuficiente
50061432,2,,,n insuficiente
50061433,7,,,n insuficiente
50061434,5,,,n insuficiente
50061435,6,,,n insuficiente
50061436,2,,,n insuficiente
50061437,3,,,n insuficiente
50061438,4,,,n insuficiente
50061439,2,,,n insuficiente
50061599,24,,,precio constante
50061600,34,,,precio constante
