SKU,n_observaciones,r2,beta_precio,estatus
50012979,45,,,precio constante
50012980,43,,,precio constante
50012981,42,,,precio constante
50012982,34,,,precio constante
50012983,46,,,precio constante
50012984,11,,,n insuficiente
50012985,24,,,precio constante
50015288,1,,,n insuficiente
50015290,2,,,n insuficiente
50015293,3,,,n insuficiente
50015294,9,,,n insuficiente
50015295,5,,,n insuficiente
50015297,2,,,n insuficiente
50015357,5,,,n insuficiente
50015508,21,,,precio constante
50015510,17,,,precio constante
50015528,18,,,precio constante
50015529,10,,,n insuficiente
50015530,11,,,n insuficiente
50015531,10,,,n insuficiente
50019370,6,,,n insuficiente
50023228,29,,,precio constante
50024572,27,,,precio constante
50025024,21,,,precio constante
50027363,43,,,precio constante
50031706,12,,,precio constante
50032970,2,,,n insuficiente
50033976,8,,,n insuficiente
50033978,22,,,precio constante
50041324,3,,,n insuficiente
50041695,42,,,precio constante
50042818,28,,,precio constante
50048120,9,,,n insuficiente
50048121,9,,,n insuficiente
50051850,3,,,n insuficiente
50054727,28,,,precio constante
50054802,12,,,precio constante
50056274,2,,,n insuficiente
50060450,16,,,precio constante
50060451,2,,,n insuficiente
50061329,12,,,precio constante
50061330,25,,,precio constante
50061463,54,,,precio constante
50062170,148,,,precio constante
50062171,4,,,n insuficiente
50063001,5,,,n insuficiente
50063006,2,,,n insuficiente
50063593,5,,,n insuficiente
50063594,62,,,precio constante
50064511,43,,,precio constante
50064871,4,,,n insuficiente
50065892,112,,,precio constante
50066813,11,,,n insuficiente
50067322,8,,,n insuficiente
50067599,7,,,n insuficiente
50067604,3,,,n insuficiente
50067929,6,,,n insuficiente
50069461,126,,,precio constante
50069712,2,,,n insuficiente
50069736,1,,,n insuficiente
50070185,18,,,precio constante
50070186,64,,,precio constante
50073554,8,,,n insuficiente
50073555,8,,,n insuficiente
50074525,4,,,n insuficiente
50074526,1,,,n insuficiente
50074529,4,,,n insuficiente
50076828,1,,,n insuficiente
50076829,1,,,n insuficiente
50077621,4,,,n insuficiente
50079721,1,,,n insuficiente
50079916,26,,,precio constante
50079917,10,,,n insuficiente
50080371,2,,,n insuficiente
50081582,11,,,n insuficiente
50081594,5,,,n insuficiente
50081595,4,,,n insuficiente
50081599,10,,,n insuficiente
50082563,1,,,n insuficiente
50083442,1,,,n insuficiente
50083443,8,,,n insuficiente
50083444,10,,,n insuficiente
50084684,2,,,n insuficiente
50084685,4,,,n insuficiente
50085009,4,,,n insuficiente
50085503,7,,,n insuficiente
50088198,3,,,n insuficiente
50088199,3,,,n insuficiente
50088200,10,,,n insuficiente
50090235,19,,,precio constante
50092594,14,,,precio constante
50092596,4,,,n insuficiente
50092597,2,,,n insuficiente
50092598,17,,,precio constante
50092600,5,,,n insuficiente
50092988,5,,,n insuficiente
50092989,4,,,n insuficiente
50093026,1,,,n insuficiente
50093399,2,,,n insuficiente
50093665,8,,,n insuficiente
50095646,1,,,n insuficiente
50095651,3,,,n insuficiente
50095652,2,,,n insuficiente
50095653,1,,,n insuficiente
50097631,3,,,n insuficiente
50098797,3,,,n insuficiente
50098798,2,,,n insuficiente
50105378,2,,,n insuficiente
50107356,3,,,n insuficiente
50107720,2,,,n insuficiente
50111635,17,,,precio constante
50113062,30,,,precio constante
50113257,20,,,precio constante
50113486,1,,,n insuficiente
50113487,1,,,n insuficiente
50113488,1,,,n insuficiente
50113657,35,,,precio constante
50113658,24,,,precio constante
50113659,5,,,n insuficiente
50113660,12,,,precio constante
50113661,12,,,precio constante
50113663,4,,,n insuficiente
50113664,6,,,n insuficiente
50113666,6,,,n insuficiente
50114110,1,,,n insuficiente
50114342,8,,,n insuficiente
50114343,5,,,n insuficiente
50114345,6,,,n insuficiente
50114346,5,,,n insuficiente
50114347,2,,,n insuficiente
50114348,5,,,n insuficiente
50114349,4,,,n insuficiente
50114842,1,,,n insuficiente
50115967,1,,,n insuficiente
50115968,1,,,n insuficiente
50115971,1,,,n insuficiente
50115972,1,,,n insuficiente
50116075,1,,,n insuficiente
50116215,2,,,n insuficiente
50116657,2,,,n insuficiente
50116729,22,,,precio constante
50116735,18,,,precio constante
50116745,56,,,precio constante
50116759,8,,,n insuficiente
50116763,21,,,precio constante
50116794,4,,,n insuficiente
50116804,39,,,precio constante
50116895,10,,,n insuficiente
50116896,7,,,n insuficiente
50116898,5,,,n insuficiente
50116899,25,,,precio constante
50116902,13,,,precio constante
50116904,13,,,precio constante
50116908,19,,,precio constante
50116910,5,,,n insuficiente
50116912,43,,,precio constante
50116913,7,,,n insuficiente
50117744,1,,,n insuficiente
50118067,1,,,n insuficiente
50118401,1,,,n insuficiente
50118405,1,,,n insuficiente
50118406,1,,,n insuficiente
50118477,1,,,n insuficiente
50118480,1,,,n insuficiente
50118692,1,,,n insuficiente
50118695,1,,,n insuficiente
50118698,1,,,n insuficiente
50118699,1,,,n insuficiente
50119317,1,,,n insuficiente
50119330,2,,,n insuficiente
50119341,1,,,n insuficiente
50119343,2,,,n insuficiente
50119434,5,,,n insuficiente
50119724,2,,,n insuficiente
50119727,2,,,n insuficiente
50119728,1,,,n insuficiente
50119731,3,,,n insuficiente
50120078,2,,,n insuficiente
50120104,1,,,n insuficiente
50120106,1,,,n insuficiente
50120107,1,,,n insuficiente
50120154,1,,,n insuficiente
50120232,4,,,n insuficiente
50120242,2,,,n insuficiente
50120243,2,,,n insuficiente
50120246,3,,,n insuficiente
50120312,1,,,n insuficiente
50120313,4,,,n insuficiente
50120315,2,,,n insuficiente
50120316,9,,,n insuficiente
50120317,3,,,n insuficiente
50120318,2,,,n insuficiente
50120319,7,,,n insuficiente
50120320,6,,,n insuficiente
50120366,12,,,precio constante
50120499,5,,,n insuficiente
50122004,1,,,n insuficiente
50122828,1,,,n insuficiente
50122830,1,,,n insuficiente
50122834,1,,,n insuficiente
50122839,1,,,n insuficiente
50123108,3,,,n insuficiente
50123145,3,,,n insuficiente
50123161,5,,,n insuficiente
50124803,1,,,n insuficiente
50125247,14,,,precio constante
50125250,22,,,precio constante
50125251,27,,,precio constante
50125255,54,,,precio constante
50125284,39,,,precio constante
50125289,7,,,n insuficiente
50125316,38,,,precio constante
50125333,14,,,precio constante
50125340,6,,,n insuficiente
50125341,7,,,n insuficiente
50125344,19,,,precio constante
50125345,30,,,precio constante
50125455,6,,,n insuficiente
50125467,16,,,precio constante
50125475,10,,,n insuficiente
50125488,13,,,precio constante
50125489,11,,,n insuficiente
50125490,6,,,n insuficiente
50125515,4,,,n insuficiente
50126035,1,,,n insuficiente
50127209,1,,,n insuficiente
50127221,4,,,n insuficiente
50127225,1,,,n insuficiente
50127238,2,,,n insuficiente
50127239,1,,,n insuficiente
50127241,1,,,n insuficiente
50127242,3,,,n insuficiente
50127244,1,,,n insuficiente
50127250,1,,,n insuficiente
50127252,1,,,n insuficiente
50127253,1,,,n insuficiente
50127589,1,,,n insuficiente
50127590,2,,,n insuficiente
50127597,1,,,n insuficiente
50127609,1,,,n insuficiente
50127617,1,,,n insuficiente
50127625,1,,,n insuficiente
50127722,2,,,n insuficiente
50127723,1,,,n insuficiente
50127724,2,,,n insuficiente
50127725,1,,,n insuficiente
50127726,2,,,n insuficiente
50127727,1,,,n insuficiente
50127734,1,,,n insuficiente
50127739,1,,,n insuficiente
50127743,1,,,n insuficiente
50127744,3,,,n insuficiente
50127750,1,,,n insuficiente
50127752,1,,,n insuficiente
50127757,1,,,n insuficiente
50127758,1,,,n insuficiente
50127760,3,,,n insuficiente
50127779,1,,,n insuficiente
50127789,1,,,n insuficiente
50127791,1,,,n insuficiente
50127792,1,,,n insuficiente
50127793,1,,,n insuficiente
50127794,1,,,n insuficiente
