SKU,n_observaciones,r2,beta_precio,estatus
50011837,15,,,precio constante
50011838,30,,,precio constante
50011851,6,,,n insuficiente
50011852,18,,,precio constante
50011853,31,,,precio constante
50011854,20,,,precio constante
50011855,14,,,precio constante
50011856,13,,,precio constante
50011938,17,,,precio constante
50012251,11,,,n insuficiente
50012263,11,,,n insuficiente
50012292,10,,,n insuficiente
50012298,2,,,n insuficiente
50012299,12,,,precio constante
50012300,7,,,n insuficiente
50012307,7,,,n insuficiente
50012341,10,,,n insuficiente
50014782,10,,,n insuficiente
50014783,2,,,n insuficiente
50022315,7,,,n insuficiente
50022799,55,,,precio constante
50027545,60,,,precio constante
50028181,12,,,precio constante
50031201,8,,,n insuficiente
50031202,5,,,n insuficiente
50031203,3,,,n insuficiente
50031204,15,,,precio constante
50031205,3,,,n insuficiente
50031206,23,,,precio constante
50031207,5,,,n insuficiente
50031208,7,,,n insuficiente
50031210,14,,,precio constante
50031211,1,,,n insuficiente
50031212,7,,,n insuficiente
50031213,15,,,precio constante
50033813,3,,,n insuficiente
50034203,27,,,precio constante
50034204,19,,,precio constante
50035581,3,,,n insuficiente
50035582,3,,,n insuficiente
50039431,29,,,precio constante
50039566,26,,,precio constante
50044491,46,,,precio constante
50044492,21,,,precio constante
50044493,82,,,precio constante
50044494,31,,,precio constante
50044495,72,,,precio constante
50044497,77,,,precio constante
50044499,58,,,precio constante
50045809,16,,,precio constante
50046575,4,,,n insuficiente
50046576,23,,,precio constante
50046624,23,,,precio constante
50048156,12,,,precio constante
50048157,23,,,precio constante
50048969,8,,,n insuficiente
50048971,30,,,precio constante
50051646,9,,,n insuficiente
50055926,7,,,n insuficiente
50060378,74,,,precio constante
50060379,8,,,n insuficiente
50060380,46,,,precio constante
50060381,18,,,precio constante
50060955,36,,,precio constante
50061067,13,,,precio constante
50061068,5,,,n insuficiente
50061069,26,,,precio constante
50061070,12,,,precio constante
50061071,9,,,n insuficiente
50061072,24,,,precio constante
50061073,2,,,n insuficiente
50061578,5,,,n insuficiente
50061580,71,,,precio constante
50061632,4,,,n insuficiente
50061633,81,,,precio constante
50061645,93,,,precio constante
50061737,8,,,n insuficiente
50061739,17,,,precio constante
50061740,35,,,precio constante
50061741,12,,,precio constante
50061742,24,,,precio constante
50061743,34,,,precio constante
50061744,28,,,precio constante
50061842,17,,,precio constante
50061981,50,,,precio constante
50061982,38,,,precio constante
50061983,41,,,precio constante
50061984,31,,,precio constante
50061985,42,,,precio constante
50061986,34,,,precio constante
50061988,126,,,precio constante
50062073,187,,,precio constante
50062074,232,,,precio constante
50062076,109,,,precio constante
50062078,189,,,precio constante
50062113,214,,,precio constante
50062114,113,,,precio constante
50062115,597,0.32122616931985115,6.692016831900947e-29,valida
50062116,9,,,n insuficiente
50062117,65,,,precio constante
50062118,17,,,precio constante
50062256,33,,,precio constante
50062257,25,,,precio constante
50062258,35,,,precio constante
50062263,75,,,precio constante
50062270,523,,,precio constante
50062273,26,,,precio constante
50063075,80,,,precio constante
50063081,57,,,precio constante
50063082,33,,,precio constante
50063111,127,,,precio constante
50063113,4,,,n insuficiente
50063114,22,,,precio constante
50064806,62,,,precio constante
50065879,99,,,precio constante
50066253,78,,,precio constante
50066255,41,,,precio constante
50066257,39,,,precio constante
50068774,21,,,precio constante
50069412,44,,,precio constante
50069833,18,,,precio constante
50069839,9,,,n insuficiente
50069869,6,,,n insuficiente
50070986,4,,,n insuficiente
50070987,4,,,n insuficiente
50071909,22,,,precio constante
50072615,1,,,n insuficiente
50072616,5,,,n insuficiente
50072617,2,,,n insuficiente
50072618,2,,,n insuficiente
50072619,2,,,n insuficiente
50074131,25,,,precio constante
50074151,269,,,precio constante
50074504,4,,,n insuficiente
50075219,2,,,n insuficiente
50075220,6,,,n insuficiente
50075221,3,,,n insuficiente
50076332,15,,,precio constante
50076333,8,,,n insuficiente
50076334,70,,,precio constante
50076335,4,,,n insuficiente
50076348,13,,,precio constante
50076356,19,,,precio constante
50076357,13,,,precio constante
50076358,4,,,n insuficiente
50076359,8,,,n insuficiente
50076753,11,,,n insuficiente
50076754,17,,,precio constante
50077033,4,,,n insuficiente
50077039,7,,,n insuficiente
50079336,6,,,n insuficiente
50079337,4,,,n insuficiente
50079353,31,,,precio constante
50079355,4,,,n insuficiente
50079876,17,,,precio constante
50080136,18,,,precio constante
50082332,5,,,n insuficiente
50082702,5,,,n insuficiente
50083950,20,,,precio constante
50083953,17,,,precio constante
50083954,10,,,n insuficiente
50083960,21,,,precio constante
50083961,15,,,precio constante
50084460,6,,,n insuficiente
50084468,3,,,n insuficiente
50084471,3,,,n insuficiente
50087310,5,,,n insuficiente
50087312,3,,,n insuficiente
50088457,3,,,n insuficiente
50090479,15,,,precio constante
50093757,7,,,n insuficiente
50093758,10,,,n insuficiente
50095268,30,,,precio constante
50097477,5,,,n insuficiente
50100598,4,,,n insuficiente
50100599,3,,,n insuficiente
50101950,9,,,n insuficiente
50101951,1,,,n insuficiente
50101953,7,,,n insuficiente
50101956,9,,,n insuficiente
50102183,3,,,n insuficiente
50102185,2,,,n insuficiente
50102221,1,,,n insuficiente
50102229,2,,,n insuficiente
50102231,1,,,n insuficiente
50102232,4,,,n insuficiente
50102233,1,,,n insuficiente
50102236,1,,,n insuficiente
50102238,1,,,n insuficiente
50104613,1,,,n insuficiente
50104753,1,,,n insuficiente
50108512,2,,,n insuficiente
50110039,5,,,n insuficiente
50110040,11,,,n insuficiente
50110041,15,,,precio constante
50110042,15,,,precio constante
50110043,17,,,precio constante
50110044,4,,,n insuficiente
50110045,6,,,n insuficiente
50110049,7,,,n insuficiente
50110052,2,,,n insuficiente
50110053,1,,,n insuficiente
50110054,4,,,n insuficiente
50110055,2,,,n insuficiente
50110064,8,,,n insuficiente
50110066,25,,,precio constante
50110184,10,,,n insuficiente
50110185,3,,,n insuficiente
50110186,11,,,n insuficiente
50110187,1,,,n insuficiente
50110190,8,,,n insuficiente
50110191,1,,,n insuficiente
50110193,6,,,n insuficiente
50110194,7,,,n insuficiente
50110195,9,,,n insuficiente
50110196,10,,,n insuficiente
50110197,5,,,n insuficiente
50110198,7,,,n insuficiente
50111545,11,,,n insuficiente
50111548,12,,,precio constante
50111549,12,,,precio constante
50111550,1,,,n insuficiente
50111552,3,,,n insuficiente
50111553,3,,,n insuficiente
50111554,14,,,precio constante
50111555,17,,,precio constante
50111606,12,,,precio constante
50111695,2,,,n insuficiente
50111730,1,,,n insuficiente
50111732,2,,,n insuficiente
50112417,2,,,n insuficiente
50112445,5,,,n insuficiente
50112446,3,,,n insuficiente
50112450,1,,,n insuficiente
50113587,5,,,n insuficiente
50113588,1,,,n insuficiente
50115604,1,,,n insuficiente
50115607,3,,,n insuficiente
50115608,2,,,n insuficiente
50115647,1,,,n insuficiente
50115649,10,,,n insuficiente
50115656,2,,,n insuficiente
50115666,2,,,n insuficiente
50115671,5,,,n insuficiente
50115773,1,,,n insuficiente
50116148,2,,,n insuficiente
50116149,3,,,n insuficiente
50116436,7,,,n insuficiente
50116702,13,,,precio constante
50116744,3,,,n insuficiente
50116747,5,,,n insuficiente
50116748,3,,,n insuficiente
50116781,1,,,n insuficiente
50116842,88,,,precio constante
50116863,3,,,n insuficiente
50116868,9,,,n insuficiente
50118397,1,,,n insuficiente
50118399,1,,,n insuficiente
50118400,1,,,n insuficiente
50118817,4,,,n insuficiente
50120029,4,,,n insuficiente
50120030,2,,,n insuficiente
50120031,3,,,n insuficiente
50120032,4,,,n insuficiente
50120230,1,,,n insuficiente
50120231,1,,,n insuficiente
50122196,1,,,n insuficiente
50122197,2,,,n insuficiente
50122198,1,,,n insuficiente
50122201,1,,,n insuficiente
50122202,2,,,n insuficiente
50122205,1,,,n insuficiente
50122210,1,,,n insuficiente
50122213,1,,,n insuficiente
50122217,1,,,n insuficiente
50122225,2,,,n insuficiente
50122226,1,,,n insuficiente
50122227,3,,,n insuficiente
50122230,1,,,n insuficiente
50122233,1,,,n insuficiente
50122236,1,,,n insuficiente
50122237,3,,,n insuficiente
50122245,2,,,n insuficiente
50122246,1,,,n insuficiente
50122248,1,,,n insuficiente
50122249,2,,,n insuficiente
50122250,1,,,n insuficiente
50122252,1,,,n insuficiente
50122260,1,,,n insuficiente
50122261,1,,,n insuficiente
