SKU,n_observaciones,r2,beta_precio,estatus
50013479,92,,,precio constante
50013480,120,,,precio constante
50013481,56,,,precio constante
50013487,27,,,precio constante
50013495,73,,,precio constante
50013496,57,,,precio constante
50013687,17,,,precio constante
50013689,13,,,precio constante
50013724,53,,,precio constante
50013749,43,,,precio constante
50013763,11,,,n insuficiente
50013785,10,,,n insuficiente
50014476,13,,,precio constante
50014477,28,,,precio constante
50014602,15,,,precio constante
50014603,45,,,precio constante
50015770,12,,,precio constante
50015958,28,,,precio constante
50015961,33,,,precio constante
50018285,25,,,precio constante
50022631,9,,,n insuficiente
50023474,41,,,precio constante
50027181,41,,,precio constante
50029482,46,,,precio constante
50033288,92,,,precio constante
50033292,5,,,n insuficiente
50033295,9,,,n insuficiente
50033918,95,,,precio constante
50035781,16,,,precio constante
50035784,6,,,n insuficiente
50036867,21,,,precio constante
50037734,73,,,precio constante
50039620,7,,,n insuficiente
50041011,14,,,precio constante
50041012,7,,,n insuficiente
50042930,6,,,n insuficiente
50044031,25,,,precio constante
50045028,12,,,precio constante
50050603,19,,,precio constante
50051707,6,,,n insuficiente
50051954,50,,,precio constante
50051956,57,,,precio constante
50051957,59,,,precio constante
50054718,17,,,precio constante
50055976,2,,,n insuficiente
50056441,17,,,precio constante
50056446,38,,,precio constante
50056684,1,,,n insuficiente
50057440,7,,,n insuficiente
50060054,11,,,n insuficiente
50060607,19,,,precio constante
50061358,26,,,precio constante
50061359,12,,,precio constante
50061361,47,,,precio constante
50061466,17,,,precio constante
50061971,67,,,precio constante
50061998,396,,,precio constante
50062046,72,,,precio constante
50062047,229,,,precio constante
50062057,33,,,precio constante
50062213,20,,,precio constante
50062274,338,,,precio constante
50062275,377,,,precio constante
50062911,73,,,precio constante
50063049,51,,,precio constante
50063384,13,,,precio constante
50063614,59,,,precio constante
50063615,89,,,precio constante
50063616,21,,,precio constante
50064299,98,,,precio constante
50065535,42,,,precio constante
50065610,113,,,precio constante
50065888,194,,,precio constante
50065894,58,,,precio constante
50065897,110,,,precio constante
50065898,79,,,precio constante
50065903,26,,,precio constante
50067394,9,,,n insuficiente
50068690,12,,,precio constante
50068694,15,,,precio constante
50069421,338,,,precio constante
50069423,28,,,precio constante
50069639,129,,,precio constante
50069640,10,,,n insuficiente
50069988,21,,,precio constante
50069991,70,,,precio constante
50071276,10,,,n insuficiente
50072936,2,,,n insuficiente
50072937,4,,,n insuficiente
50073009,22,,,precio constante
50074161,23,,,precio constante
50074162,106,,,precio constante
50077264,27,,,precio constante
50077265,14,,,precio constante
50077267,16,,,precio constante
50077329,3,,,n insuficiente
50077330,19,,,precio constante
50077331,20,,,precio constante
50077332,1,,,n insuficiente
50077333,6,,,n insuficiente
50077336,9,,,n insuficiente
50077337,4,,,n insuficiente
50077358,90,,,precio constante
50077987,61,,,precio constante
50077988,14,,,precio constante
50078962,49,,,precio constante
50082135,40,,,precio constante
50085005,24,,,precio constante
50085460,1,,,n insuficiente
50088334,10,,,n insuficiente
50088336,15,,,precio constante
50089662,21,,,precio constante
50089663,14,,,precio constante
50090628,14,,,precio constante
50090630,16,,,precio constante
50090631,20,,,precio constante
50092466,15,,,precio constante
50092618,27,,,precio constante
50092623,40,,,precio constante
50093479,94,,,precio constante
50093488,5,,,n insuficiente
50093490,2,,,n insuficiente
50093701,18,,,precio constante
50093703,7,,,n insuficiente
50093704,1,,,n insuficiente
50096828,9,,,n insuficiente
50096832,1,,,n insuficiente
50096833,22,,,precio constante
50099659,2,,,n insuficiente
50099867,9,,,n insuficiente
50099869,9,,,n insuficiente
50100195,9,,,n insuficiente
50100196,6,,,n insuficiente
50101960,2,,,n insuficiente
50102591,2,,,n insuficiente
50102594,9,,,n insuficiente
50102595,7,,,n insuficiente
50102596,6,,,n insuficiente
50102649,3,,,n insuficiente
50102650,8,,,n insuficiente
50106008,179,,,precio constante
50110082,2,,,n insuficiente
50113147,74,,,precio constante
50113295,69,,,precio constante
50113323,35,,,precio constante
50113327,33,,,precio constante
50113328,40,,,precio constante
50113329,40,,,precio constante
50113330,31,,,precio constante
50113538,1,,,n insuficiente
50113818,37,,,precio constante
50113819,21,,,precio constante
50113868,30,,,precio constante
50113922,4,,,n insuficiente
50113949,10,,,n insuficiente
50113963,23,,,precio constante
50114002,4,,,n insuficiente
50114006,8,,,n insuficiente
50114007,11,,,n insuficiente
50114008,4,,,n insuficiente
50116189,32,,,precio constante
50116754,7,,,n insuficiente
50116771,56,,,precio constante
50116800,2,,,n insuficiente
50116803,5,,,n insuficiente
50116806,1,,,n insuficiente
50116813,5,,,n insuficiente
50116819,6,,,n insuficiente
50116820,3,,,n insuficiente
50116824,4,,,n insuficiente
50116829,3,,,n insuficiente
50116839,42,,,precio constante
