SKU,tipo_ventana,periodo_anterior,periodo_actual,beta_anterior,beta_actual,delta_beta,r2_actual,n_observaciones_actual,razon_cambio
50028915,semestral,2024-06-30,2024-07-31,-0.0026233103214621,0.3395719933491253,0.3421953036705874,0.3333333333333333,4,cambio_signo
50028915,semestral,2024-10-31,2024-11-30,0.101871598004738,-0.1228256734250228,-0.22469727142976081,0.0256146425319362,6,cambio_signo
50028915,semestral,2024-12-31,2025-01-31,-0.4301629028828432,0.3531974518110953,0.7833603546939385,0.4044372759114937,5,cambio_signo
50028915,semestral,2025-08-31,2025-09-30,0.0439595948244105,-0.0770078299209396,-0.1209674247453501,0.0010558132778195,16,cambio_signo
50028915,semestral,2026-01-31,2026-02-28,-0.5152567812339496,0.0541844317505955,0.5694412129845451,0.006503733086149,11,cambio_signo
50028915,trimestral,2024-07-31,2024-08-31,0.5093579900236865,-7.457135351777086e-16,-0.5093579900236873,0.0,3,cambio_signo
50028915,trimestral,2024-11-30,2025-03-31,-1.0000000000000004,0.7769968920907909,1.7769968920907915,0.8606359987188111,3,delta_abs>=1; cambio_signo
50028915,trimestral,2025-06-30,2025-08-31,0.775896754079757,-3.926900364314427,-4.702797118394184,0.3226232429638859,9,delta_abs>=1; cambio_signo
50028915,trimestral,2025-08-31,2025-09-30,-3.926900364314427,-2.454939207386773,1.4719611569276538,0.4533090297267171,6,delta_abs>=1
50028915,trimestral,2025-09-30,2025-10-31,-2.454939207386773,-0.5583223039109295,1.8966169034758436,0.2858565324909566,8,delta_abs>=1
50028915,trimestral,2026-01-31,2026-02-28,-1.0000000000000029,1.4734629025821293,2.473462902582132,1.0,5,delta_abs>=1; cambio_signo
50033183,mensual,2024-01-31,2024-05-31,-2.632116462963962,-0.1775813789547702,2.454535084009192,0.2500000000000001,3,delta_abs>=1
50033183,mensual,2024-05-31,2024-08-31,-0.1775813789547702,-4.308227952766679,-4.13064657381191,0.6498435342977396,5,delta_abs>=1
50033183,mensual,2024-08-31,2025-10-31,-4.308227952766679,0.9430521759065564,5.251280128673236,0.4923679971040664,4,delta_abs>=1; cambio_signo
50033183,semestral,2024-11-30,2024-12-31,-0.4550178847102136,-2.935751228127449,-2.4807333434172354,0.6559302339011771,10,delta_abs>=1
50033183,semestral,2025-01-31,2025-02-28,-3.050073827443919,0.3673632998527295,3.4174371272966484,0.0789616728613304,8,delta_abs>=1; cambio_signo
50033183,semestral,2025-07-31,2025-08-31,0.3898503583460046,-0.134840548677666,-0.5246909070236706,0.0178895459604051,11,cambio_signo
50033183,semestral,2025-09-30,2025-10-31,-0.1606190367196627,0.0037418191993305,0.16436085591899322,1.4960517468964872e-05,12,cambio_signo
50033183,trimestral,2024-03-31,2024-04-30,-5.668240988256861,-0.0887906894773849,5.579450298779476,0.0624999999999998,5,delta_abs>=1
50033183,trimestral,2024-08-31,2024-09-30,-0.1680217589590943,-4.458064273832238,-4.290042514873144,0.7349690638350361,7,delta_abs>=1
50033183,trimestral,2024-10-31,2024-11-30,-4.458064273832238,-2.8810299439429183,1.5770343298893197,0.800358042268032,5,delta_abs>=1
50033183,trimestral,2025-01-31,2025-02-28,-3.4689407598163804,1.150877739790445,4.619818499606826,0.9562386195829142,3,delta_abs>=1; cambio_signo
50033183,trimestral,2025-04-30,2025-05-31,0.9649549203254664,-0.2781366600288912,-1.2430915803543576,0.1318641468753201,5,delta_abs>=1; cambio_signo
50033183,trimestral,2025-06-30,2025-07-31,-0.2992734978068083,0.0228584403095692,0.32213193811637747,0.0008987119702646,5,cambio_signo
50046028,mensual,2024-04-30,2024-08-31,-2.4247552058750217,-1.1688289587716525,1.2559262471033692,0.0624589847188289,7,delta_abs>=1
50046028,mensual,2024-08-31,2024-09-30,-1.1688289587716525,-11.972202249912502,-10.80337329114085,0.3452499756280718,6,delta_abs>=1
50046028,mensual,2024-09-30,2025-07-31,-11.972202249912502,-1.619688137349988,10.352514112562515,0.4166666666666666,7,delta_abs>=1
50046028,mensual,2025-07-31,2025-08-31,-1.619688137349988,1.9436257648199853,3.5633139021699733,1.0,4,delta_abs>=1; cambio_signo
