seccion,metric,valor,porcentaje,detalle
resumen,porcentaje_sku_con_beta_mensual_valida,363,11.523809523809524,363 de 3150 SKU
resumen_por_ventana,mensual,991,6.0715598578605565,991 validas de 16322 ventanas
resumen_por_ventana,semestral,8036,27.474443570720364,8036 validas de 29249 ventanas
resumen_por_ventana,trimestral,4143,16.720477843248045,4143 validas de 24778 ventanas
distribucion_n_observaciones,0-2,42626,60.59219036517932,
distribucion_n_observaciones,11-20,3260,4.634038863381142,
distribucion_n_observaciones,21+,1185,1.684458911995906,
distribucion_n_observaciones,3-5,16053,22.819087691367326,
distribucion_n_observaciones,6-10,7225,10.270224168076306,
distribucion_r2,0.00-0.20,8094,11.505494036873303,
distribucion_r2,0.20-0.40,2383,3.3873971200727797,
distribucion_r2,0.40-0.60,798,1.1343444825086355,
distribucion_r2,0.60-0.80,578,0.8216179334461045,
distribucion_r2,0.80-1.00,2988,4.24739512999474,
distribucion_r2,sin R2,55508,78.90375129710444,
razones_exclusion,n<3,42626,74.54834816978261,
razones_exclusion,precio constante,7134,12.476608545095228,
razones_exclusion,datos insuficientes,4017,7.025306493642771,
razones_exclusion,qty constante,3402,5.949736791479389,
top_20_mas_betas_validas,50062270,74,88.09523809523809,74 validas de 84 ventanas
top_20_mas_betas_validas,50084493,73,86.90476190476191,73 validas de 84 ventanas
top_20_mas_betas_validas,50029891,72,85.71428571428571,72 validas de 84 ventanas
top_20_mas_betas_validas,50077229,69,82.14285714285714,69 validas de 84 ventanas
top_20_mas_betas_validas,50106204,69,82.14285714285714,69 validas de 84 ventanas
top_20_mas_betas_validas,50046029,68,80.95238095238095,68 validas de 84 ventanas
top_20_mas_betas_validas,50062115,68,80.95238095238095,68 validas de 84 ventanas
top_20_mas_betas_validas,50029905,66,79.51807228915662,66 validas de 83 ventanas
top_20_mas_betas_validas,50029838,65,77.38095238095238,65 validas de 84 ventanas
top_20_mas_betas_validas,50029933,64,76.19047619047619,64 validas de 84 ventanas
top_20_mas_betas_validas,50062297,62,75.60975609756098,62 validas de 82 ventanas
top_20_mas_betas_validas,50063412,61,72.61904761904762,61 validas de 84 ventanas
top_20_mas_betas_validas,50061735,60,73.17073170731707,60 validas de 82 ventanas
top_20_mas_betas_validas,50066389,60,71.42857142857143,60 validas de 84 ventanas
top_20_mas_betas_validas,50099648,60,71.42857142857143,60 validas de 84 ventanas
top_20_mas_betas_validas,50115980,60,71.42857142857143,60 validas de 84 ventanas
top_20_mas_betas_validas,50074151,59,71.08433734939759,59 validas de 83 ventanas
top_20_mas_betas_validas,50085878,57,70.37037037037037,57 validas de 81 ventanas
top_20_mas_betas_validas,50115975,57,70.37037037037037,57 validas de 81 ventanas
top_20_mas_betas_validas,50076882,57,69.51219512195121,57 validas de 82 ventanas
top_20_menos_betas_validas,50010638,0,0.0,0 validas de 3 ventanas
top_20_menos_betas_validas,50011569,0,0.0,0 validas de 3 ventanas
top_20_menos_betas_validas,50011848,0,0.0,0 validas de 3 ventanas
top_20_menos_betas_validas,50011851,0,0.0,0 validas de 35 ventanas
top_20_menos_betas_validas,50011852,0,0.0,0 validas de 58 ventanas
top_20_menos_betas_validas,50011856,0,0.0,0 validas de 34 ventanas
top_20_menos_betas_validas,50011877,0,0.0,0 validas de 31 ventanas
top_20_menos_betas_validas,50011882,0,0.0,0 validas de 3 ventanas
top_20_menos_betas_validas,50011883,0,0.0,0 validas de 3 ventanas
top_20_menos_betas_validas,50011886,0,0.0,0 validas de 13 ventanas
top_20_menos_betas_validas,50011888,0,0.0,0 validas de 10 ventanas
top_20_menos_betas_validas,50011912,0,0.0,0 validas de 60 ventanas
top_20_menos_betas_validas,50011913,0,0.0,0 validas de 6 ventanas
top_20_menos_betas_validas,50012298,0,0.0,0 validas de 12 ventanas
top_20_menos_betas_validas,50012299,0,0.0,0 validas de 27 ventanas
top_20_menos_betas_validas,50012307,0,0.0,0 validas de 32 ventanas
top_20_menos_betas_validas,50012341,0,0.0,0 validas de 51 ventanas
top_20_menos_betas_validas,50012368,0,0.0,0 validas de 48 ventanas
top_20_menos_betas_validas,50012369,0,0.0,0 validas de 33 ventanas
top_20_menos_betas_validas,50012378,0,0.0,0 validas de 24 ventanas
