SKU,periodo_inicio,periodo_fin,tipo_ventana,beta
50010638,2025-03-01,2025-03-01,mensual,
50010638,2025-01-01,2025-03-01,trimestral,
50010638,2024-10-01,2025-03-01,semestral,
50011569,2024-02-01,2024-02-01,mensual,
50011569,2023-12-01,2024-02-01,trimestral,
50011569,2023-09-01,2024-02-01,semestral,
50011573,2024-02-01,2024-02-01,mensual,
50011573,2024-05-01,2024-05-01,mensual,
50011573,2024-06-01,2024-06-01,mensual,
50011573,2024-07-01,2024-07-01,mensual,
50011573,2024-12-01,2024-12-01,mensual,
50011573,2025-02-01,2025-02-01,mensual,
50011573,2025-07-01,2025-07-01,mensual,
50011573,2025-08-01,2025-08-01,mensual,
50011573,2025-10-01,2025-10-01,mensual,
50011573,2023-12-01,2024-02-01,trimestral,
50011573,2024-03-01,2024-05-01,trimestral,
50011573,2024-04-01,2024-06-01,trimestral,-3.542282329951054
50011573,2024-05-01,2024-07-01,trimestral,-3.542282329951017
50011573,2024-10-01,2024-12-01,trimestral,
50011573,2024-12-01,2025-02-01,trimestral,-3.080223467202746
50011573,2025-05-01,2025-07-01,trimestral,
50011573,2025-06-01,2025-08-01,trimestral,
50011573,2025-08-01,2025-10-01,trimestral,
50011573,2023-09-01,2024-02-01,semestral,
50011573,2023-12-01,2024-05-01,semestral,
50011573,2024-01-01,2024-06-01,semestral,-3.5422823299510107
50011573,2024-02-01,2024-07-01,semestral,-3.5422823299510355
50011573,2024-07-01,2024-12-01,semestral,0.0
50011573,2024-09-01,2025-02-01,semestral,-3.080223467202746
50011573,2025-02-01,2025-07-01,semestral,2.630883681339895
50011573,2025-03-01,2025-08-01,semestral,
50011573,2025-05-01,2025-10-01,semestral,
50011575,2024-01-01,2024-01-01,mensual,
50011575,2024-02-01,2024-02-01,mensual,
50011575,2024-03-01,2024-03-01,mensual,
50011575,2024-04-01,2024-04-01,mensual,
50011575,2024-05-01,2024-05-01,mensual,
50011575,2024-06-01,2024-06-01,mensual,
50011575,2024-07-01,2024-07-01,mensual,
50011575,2024-08-01,2024-08-01,mensual,
50011575,2024-09-01,2024-09-01,mensual,
50011575,2024-10-01,2024-10-01,mensual,
50011575,2024-11-01,2024-11-01,mensual,
50011575,2025-01-01,2025-01-01,mensual,
50011575,2025-02-01,2025-02-01,mensual,
50011575,2025-03-01,2025-03-01,mensual,
50011575,2025-04-01,2025-04-01,mensual,
50011575,2025-05-01,2025-05-01,mensual,
50011575,2025-06-01,2025-06-01,mensual,
50011575,2025-07-01,2025-07-01,mensual,
50011575,2025-08-01,2025-08-01,mensual,
50011575,2025-09-01,2025-09-01,mensual,
50011575,2025-10-01,2025-10-01,mensual,
50011575,2025-11-01,2025-11-01,mensual,
50011575,2025-12-01,2025-12-01,mensual,
50011575,2026-01-01,2026-01-01,mensual,
50011575,2026-02-01,2026-02-01,mensual,
50011575,2026-03-01,2026-03-01,mensual,
50011575,2026-04-01,2026-04-01,mensual,
50011575,2023-11-01,2024-01-01,trimestral,
50011575,2023-12-01,2024-02-01,trimestral,
50011575,2024-01-01,2024-03-01,trimestral,
50011575,2024-02-01,2024-04-01,trimestral,5.0903293823057585e-15
50011575,2024-03-01,2024-05-01,trimestral,-1.3569154488567226
50011575,2024-04-01,2024-06-01,trimestral,-1.3569154488567279
50011575,2024-05-01,2024-07-01,trimestral,-1.2928913684437757
50011575,2024-06-01,2024-08-01,trimestral,0.7494912258708002
50011575,2024-07-01,2024-09-01,trimestral,-7.367558056907009
50011575,2024-08-01,2024-10-01,trimestral,
50011575,2024-09-01,2024-11-01,trimestral,-32.6829462370388
50011575,2024-11-01,2025-01-01,trimestral,7.827448763905793
50011575,2024-12-01,2025-02-01,trimestral,-4.518858071005493
50011575,2025-01-01,2025-03-01,trimestral,-4.1441855854027
50011575,2025-02-01,2025-04-01,trimestral,-4.2051945418452314
50011575,2025-03-01,2025-05-01,trimestral,2.0848680903662813
50011575,2025-04-01,2025-06-01,trimestral,4.649890214751802
50011575,2025-05-01,2025-07-01,trimestral,1.1023866877662775e-16
50011575,2025-06-01,2025-08-01,trimestral,0.72236257675875
50011575,2025-07-01,2025-09-01,trimestral,
50011575,2025-08-01,2025-10-01,trimestral,
50011575,2025-09-01,2025-11-01,trimestral,-4.066467346501952
50011575,2025-10-01,2025-12-01,trimestral,-14.530471115701948
50011575,2025-11-01,2026-01-01,trimestral,-6.853422345091375
50011575,2025-12-01,2026-02-01,trimestral,-4.248479231050472
50011575,2026-01-01,2026-03-01,trimestral,-4.248479231050426
50011575,2026-02-01,2026-04-01,trimestral,3.285471711886852
50011575,2023-08-01,2024-01-01,semestral,
50011575,2023-09-01,2024-02-01,semestral,
50011575,2023-10-01,2024-03-01,semestral,
50011575,2023-11-01,2024-04-01,semestral,-0.8174759384357277
50011575,2023-12-01,2024-05-01,semestral,-0.817475938435731
50011575,2024-01-01,2024-06-01,semestral,-0.952335816040984
50011575,2024-02-01,2024-07-01,semestral,-0.32332213903753576
50011575,2024-03-01,2024-08-01,semestral,-1.5821476904711504
50011575,2024-04-01,2024-09-01,semestral,-2.2199749111050253
50011575,2024-05-01,2024-10-01,semestral,-1.5945377259653477
50011575,2024-06-01,2024-11-01,semestral,0.3240732415023896
50011575,2024-08-01,2025-01-01,semestral,5.24644420996448
50011575,2024-09-01,2025-02-01,semestral,-2.245355575264795
50011575,2024-10-01,2025-03-01,semestral,-3.08643617231644
50011575,2024-11-01,2025-04-01,semestral,-3.086436172316412
50011575,2024-12-01,2025-05-01,semestral,-2.878986626375223
50011575,2025-01-01,2025-06-01,semestral,-1.2964299312561012
50011575,2025-02-01,2025-07-01,semestral,-1.5279803205900477
50011575,2025-03-01,2025-08-01,semestral,0.21550296801317925
50011575,2025-04-01,2025-09-01,semestral,2.188366989449154
50011575,2025-05-01,2025-10-01,semestral,1.3059933784205076
50011575,2025-06-01,2025-11-01,semestral,-0.0384798008115523
50011575,2025-07-01,2025-12-01,semestral,-6.921977772429045
50011575,2025-08-01,2026-01-01,semestral,-6.541514080695022
50011575,2025-09-01,2026-02-01,semestral,-3.926712056439226
50011575,2025-10-01,2026-03-01,semestral,-8.044732597366837
50011575,2025-11-01,2026-04-01,semestral,0.4081154423930062
50011810,2024-02-01,2024-02-01,mensual,
50011810,2024-03-01,2024-03-01,mensual,
50011810,2024-04-01,2024-04-01,mensual,
50011810,2024-05-01,2024-05-01,mensual,
50011810,2024-06-01,2024-06-01,mensual,
50011810,2024-08-01,2024-08-01,mensual,
50011810,2024-09-01,2024-09-01,mensual,
50011810,2024-10-01,2024-10-01,mensual,
50011810,2024-11-01,2024-11-01,mensual,
50011810,2024-12-01,2024-12-01,mensual,
50011810,2025-01-01,2025-01-01,mensual,
50011810,2025-02-01,2025-02-01,mensual,
50011810,2025-03-01,2025-03-01,mensual,
50011810,2025-04-01,2025-04-01,mensual,
50011810,2025-05-01,2025-05-01,mensual,
50011810,2025-06-01,2025-06-01,mensual,
50011810,2025-08-01,2025-08-01,mensual,
50011810,2025-09-01,2025-09-01,mensual,
50011810,2025-10-01,2025-10-01,mensual,
50011810,2025-12-01,2025-12-01,mensual,
50011810,2026-01-01,2026-01-01,mensual,
50011810,2026-02-01,2026-02-01,mensual,
50011810,2026-03-01,2026-03-01,mensual,
50011810,2026-04-01,2026-04-01,mensual,
50011810,2023-12-01,2024-02-01,trimestral,
50011810,2024-01-01,2024-03-01,trimestral,
50011810,2024-02-01,2024-04-01,trimestral,
50011810,2024-03-01,2024-05-01,trimestral,
50011810,2024-04-01,2024-06-01,trimestral,
50011810,2024-06-01,2024-08-01,trimestral,
50011810,2024-07-01,2024-09-01,trimestral,
50011810,2024-08-01,2024-10-01,trimestral,-8.75233459838436
50011810,2024-09-01,2024-11-01,trimestral,-4.842620833112468
50011810,2024-10-01,2024-12-01,trimestral,-4.842620833111958
50011810,2024-11-01,2025-01-01,trimestral,-17.360614091919484
50011810,2024-12-01,2025-02-01,trimestral,
50011810,2025-01-01,2025-03-01,trimestral,
50011810,2025-02-01,2025-04-01,trimestral,167.88358617960404
50011810,2025-03-01,2025-05-01,trimestral,5.448662924208061
50011810,2025-04-01,2025-06-01,trimestral,-10.115078028823094
50011810,2025-06-01,2025-08-01,trimestral,-9.707695657367417
50011810,2025-07-01,2025-09-01,trimestral,33.63495264346196
50011810,2025-08-01,2025-10-01,trimestral,-1.6639526898213457
50011810,2025-10-01,2025-12-01,trimestral,
50011810,2025-11-01,2026-01-01,trimestral,-19.00881135779409
50011810,2025-12-01,2026-02-01,trimestral,-0.05059121482441648
50011810,2026-01-01,2026-03-01,trimestral,19.04253894033627
50011810,2026-02-01,2026-04-01,trimestral,
50011810,2023-09-01,2024-02-01,semestral,
50011810,2023-10-01,2024-03-01,semestral,
50011810,2023-11-01,2024-04-01,semestral,
50011810,2023-12-01,2024-05-01,semestral,
50011810,2024-01-01,2024-06-01,semestral,
50011810,2024-03-01,2024-08-01,semestral,
50011810,2024-04-01,2024-09-01,semestral,
50011810,2024-05-01,2024-10-01,semestral,-10.777763831370361
50011810,2024-06-01,2024-11-01,semestral,-14.94524158682075
50011810,2024-07-01,2024-12-01,semestral,-10.677510565368499
50011810,2024-08-01,2025-01-01,semestral,-13.05647434515178
50011810,2024-09-01,2025-02-01,semestral,-10.096682842250189
50011810,2024-10-01,2025-03-01,semestral,-7.675372425694418
50011810,2024-11-01,2025-04-01,semestral,-13.882619878289784
50011810,2024-12-01,2025-05-01,semestral,4.348796412442531
50011810,2025-01-01,2025-06-01,semestral,-3.8133631616193644
50011810,2025-03-01,2025-08-01,semestral,-3.1317367369574742
50011810,2025-04-01,2025-09-01,semestral,-8.913666124592481
50011810,2025-05-01,2025-10-01,semestral,-12.89235061733492
50011810,2025-07-01,2025-12-01,semestral,2.0469020386955696
50011810,2025-08-01,2026-01-01,semestral,-2.1587594918127824
50011810,2025-09-01,2026-02-01,semestral,-12.365967754875065
50011810,2025-10-01,2026-03-01,semestral,4.7057640323837555
50011810,2025-11-01,2026-04-01,semestral,1.9283850406453233
50011811,2024-01-01,2024-01-01,mensual,
50011811,2024-02-01,2024-02-01,mensual,
50011811,2024-03-01,2024-03-01,mensual,
50011811,2024-04-01,2024-04-01,mensual,
50011811,2024-05-01,2024-05-01,mensual,
50011811,2024-06-01,2024-06-01,mensual,
50011811,2024-07-01,2024-07-01,mensual,
50011811,2024-08-01,2024-08-01,mensual,
50011811,2024-09-01,2024-09-01,mensual,
50011811,2024-10-01,2024-10-01,mensual,
50011811,2024-11-01,2024-11-01,mensual,
50011811,2025-01-01,2025-01-01,mensual,
50011811,2025-02-01,2025-02-01,mensual,
50011811,2025-03-01,2025-03-01,mensual,
50011811,2025-04-01,2025-04-01,mensual,
50011811,2025-05-01,2025-05-01,mensual,
50011811,2025-06-01,2025-06-01,mensual,
50011811,2025-07-01,2025-07-01,mensual,
50011811,2025-08-01,2025-08-01,mensual,
50011811,2025-09-01,2025-09-01,mensual,
50011811,2025-10-01,2025-10-01,mensual,
50011811,2025-11-01,2025-11-01,mensual,
50011811,2025-12-01,2025-12-01,mensual,
50011811,2026-01-01,2026-01-01,mensual,
50011811,2026-03-01,2026-03-01,mensual,
50011811,2026-04-01,2026-04-01,mensual,
50011811,2023-11-01,2024-01-01,trimestral,
50011811,2023-12-01,2024-02-01,trimestral,
50011811,2024-01-01,2024-03-01,trimestral,
50011811,2024-02-01,2024-04-01,trimestral,
50011811,2024-03-01,2024-05-01,trimestral,
50011811,2024-04-01,2024-06-01,trimestral,-18.504727458860625
50011811,2024-05-01,2024-07-01,trimestral,-9.719558952880233
50011811,2024-06-01,2024-08-01,trimestral,-9.719558952879988
50011811,2024-07-01,2024-09-01,trimestral,
50011811,2024-08-01,2024-10-01,trimestral,
50011811,2024-09-01,2024-11-01,trimestral,117.09135310673442
50011811,2024-11-01,2025-01-01,trimestral,184.457226917261
50011811,2024-12-01,2025-02-01,trimestral,
50011811,2025-01-01,2025-03-01,trimestral,
50011811,2025-02-01,2025-04-01,trimestral,
50011811,2025-03-01,2025-05-01,trimestral,9.68593693802635
50011811,2025-04-01,2025-06-01,trimestral,6.764624209649732
50011811,2025-05-01,2025-07-01,trimestral,
50011811,2025-06-01,2025-08-01,trimestral,
50011811,2025-07-01,2025-09-01,trimestral,11.737913766046809
50011811,2025-08-01,2025-10-01,trimestral,-14.658363949582425
50011811,2025-09-01,2025-11-01,trimestral,
50011811,2025-10-01,2025-12-01,trimestral,
50011811,2025-11-01,2026-01-01,trimestral,
50011811,2026-01-01,2026-03-01,trimestral,
50011811,2026-02-01,2026-04-01,trimestral,-15.399152264732793
50011811,2023-08-01,2024-01-01,semestral,
50011811,2023-09-01,2024-02-01,semestral,
50011811,2023-10-01,2024-03-01,semestral,
50011811,2023-11-01,2024-04-01,semestral,
50011811,2023-12-01,2024-05-01,semestral,
50011811,2024-01-01,2024-06-01,semestral,-15.508743916744129
50011811,2024-02-01,2024-07-01,semestral,-15.508743916744145
50011811,2024-03-01,2024-08-01,semestral,-14.374099266013898
50011811,2024-04-01,2024-09-01,semestral,-16.318532195573393
50011811,2024-05-01,2024-10-01,semestral,-12.800586245652871
50011811,2024-06-01,2024-11-01,semestral,-15.234852687405679
50011811,2024-08-01,2025-01-01,semestral,150.77429001200326
50011811,2024-09-01,2025-02-01,semestral,116.55082796352559
50011811,2024-10-01,2025-03-01,semestral,97.17844447090548
50011811,2024-11-01,2025-04-01,semestral,97.1784444708984
50011811,2024-12-01,2025-05-01,semestral,13.353311587956222
50011811,2025-01-01,2025-06-01,semestral,-10.254288543575072
50011811,2025-02-01,2025-07-01,semestral,-23.776113695895194
50011811,2025-03-01,2025-08-01,semestral,-13.918176780504586
50011811,2025-04-01,2025-09-01,semestral,9.812409384263642
50011811,2025-05-01,2025-10-01,semestral,3.2742725612374106
50011811,2025-06-01,2025-11-01,semestral,2.1833833333748105
50011811,2025-07-01,2025-12-01,semestral,-7.333952322903122
50011811,2025-08-01,2026-01-01,semestral,-21.458045407098805
50011811,2025-10-01,2026-03-01,semestral,
50011811,2025-11-01,2026-04-01,semestral,-9.489625643517037
50011837,2025-01-01,2025-01-01,mensual,
50011837,2025-02-01,2025-02-01,mensual,
50011837,2025-06-01,2025-06-01,mensual,
50011837,2025-08-01,2025-08-01,mensual,
50011837,2025-09-01,2025-09-01,mensual,
50011837,2025-10-01,2025-10-01,mensual,
50011837,2025-11-01,2025-11-01,mensual,
50011837,2026-01-01,2026-01-01,mensual,
50011837,2026-02-01,2026-02-01,mensual,
50011837,2026-03-01,2026-03-01,mensual,
50011837,2024-11-01,2025-01-01,trimestral,
50011837,2024-12-01,2025-02-01,trimestral,
50011837,2025-04-01,2025-06-01,trimestral,
50011837,2025-06-01,2025-08-01,trimestral,
50011837,2025-07-01,2025-09-01,trimestral,
50011837,2025-08-01,2025-10-01,trimestral,0.0
50011837,2025-09-01,2025-11-01,trimestral,-4.842620833112467
50011837,2025-11-01,2026-01-01,trimestral,
50011837,2025-12-01,2026-02-01,trimestral,-5.466929090361431
50011837,2026-01-01,2026-03-01,trimestral,-5.207390813649721
50011837,2024-08-01,2025-01-01,semestral,
50011837,2024-09-01,2025-02-01,semestral,
50011837,2025-01-01,2025-06-01,semestral,
50011837,2025-03-01,2025-08-01,semestral,
50011837,2025-04-01,2025-09-01,semestral,
