archivo_origen,mes_carpeta,extension,tipo_error,detalle,requiere_revision_manual
Promociones\AGOSTO\9503_Carta responsiva promotoría stamp stick.pdf,AGOSTO,.pdf,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9503_Compras y max - PROMOTORÍA SELLO STAMP STICK.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9504_Compras y Max - PROMOCIÓN CARRITO BTS 2024.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9505_PAPELERIA_Agosto primera semana 2024.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9509_Compras y max - ACTUALIZACIÓN PRECIO CORDON PARA GAFETE.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9510_COMPRASYMAX SKU ADICIONALES NO PARTICIPANTES PROMOCION CARRITO.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\AGOSTO\9511_DESCUENTOS A COLABORADORES LA COMER.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\AGOSTO\9512_Compras y Max - DOBLE EXHIBICIÓN Y MAX VALUE PRODUCTOS LM.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9513_Compras y max - CAMBIO PRECIO MUEBLES-.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9514_Compras y max - PROCESO PERECEDEROS CHECKOUT OPMX.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9515_Compras y max - ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9516_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9517_HASTA 50_ DE DESCUENTO EN LIBROS SELECCIONADOS- MECANICA 14134.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9518_Compras y max - 20_ ENERGIZER.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9519_PROMOCIÓN CAJA DE PAPEL MARATHON.docx,AGOSTO,.docx,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9521_COMPRAS Y MAX - CAMBIOS DE PRECIO TECNOLOGÍA 09.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9522_Promociones papelería Agosto.docx,AGOSTO,.docx,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9523_Compras y max - REACTIVACIÓN MECANICA PISTOLA ETIQUETADORA.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\AGOSTO\9524_ACTUALIZACIÓN PRECIOS SUMINISTROS OFICINA V2AGO.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9525_Compras y Max - ACLARACIONES BOLETIN DEVOLUCION No. 625 ADHES INNOVATIONS.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9525_ID MANUEL VERONA.pdf,AGOSTO,.pdf,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9525_SKONICA24080615280 CARTA DEV.pdf,AGOSTO,.pdf,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9526_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 13.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\AGOSTO\9528_ESCRITORIO ESTUDIANTIL DRESDE DE $2,699 A $1,599- MECANICA 14164.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
"Promociones\AGOSTO\9529_ESCRITORIO ESTUDIANTIL DUBLIN DE, A - 14165.doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9530_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 14.08.24 (1).doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9531_Compras y max - ACTUALIZACION DE DESCUENTOS MG 14082024-.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9533_MAX VALUE PROMOCIÓN CAJA DE PAPEL MARATHON.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
"Promociones\AGOSTO\9534_Compras y max - -30_ PASTILLAS LEONE, (1).doc",AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9535_Compras y max - PORTALETREROS DE ACRILICO 30_.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9537_Compras y Max - REGALO DE PERAFORADORA EN COMPRA DE CARPETAS.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9538_HASTA 50_ DE DESCUENTO EN MUEBLES SELECCIONADOS- MECANICA 14133- ACTUALIZADO 16.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9539_COMPRAS Y MAX - MODIFICACION DE MECANICAS TECNOLOGÍA 19.08.24.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32 | sin SKU detectable,SI
Promociones\AGOSTO\9540_Compras y max - Descuentos Muebles.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9541_Promociones PAPELERIA_Agosto 2024.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
Promociones\AGOSTO\9542_CAJA DE PAPEL MARATHON DE $849 A $649.docx,AGOSTO,.docx,advertencia,sin SKU detectable,SI
Promociones\AGOSTO\9543_Compras y max - ACTUALIZACIÓN MECANICA 14139.doc,AGOSTO,.doc,advertencia,libreoffice_headless_docx: FileNotFoundError: soffice/libreoffice no encontrado | doc convertido temporalmente a docx con pywin32,NO
