promo_id,archivo_origen,mes_carpeta,patron_detectado,fecha_texto,contexto
9504,Promociones\AGOSTO\9504_Compras y Max - PROMOCIÓN CARRITO BTS 2024.doc,AGOSTO,dd al dd mes yyyy,4 al 8 de Agosto 2024,"PROMOCIÓN CARRITO BTS 2024 Los próximos días Del 4 al 8 de Agosto 2024 tendremos la promoción “CARRITO”, en la cual constará de un: 30% DE DESCUENTO EN ART"
9504,Promociones\AGOSTO\9504_Compras y Max - PROMOCIÓN CARRITO BTS 2024.doc,AGOSTO,del X al Y mismo mes,Del 4 al 8 de Agosto 2024,"PROMOCIÓN CARRITO BTS 2024 Los próximos días Del 4 al 8 de Agosto 2024 tendremos la promoción “CARRITO”, en la cual constará de un: 30% DE DESCUENTO EN ART"
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,dd al dd mes yyyy,05 AL 31 DE AGOSTO 2024,ara el departamento de Check out. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,dd-dd mes yyyy,5-15 AGOSTO,DESCRIPCION | PROMO | VIGENCIA 50124968 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 5-15 AGOSTO 50124843 | GLOBO MET HAPPY BDAY 56IN | 30% | 5-15 AGOSTO 50128398 | GLOBO MET SATINA
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,vigencia,vigencia hasta el 31 de agosto 2024,rde gerencias. Comparto listado de descuentos para el departamento de Check out. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspo
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,vigencia,Vigencia: 05 AL 31 DE AGOSTO 2024,scuentos para el departamento de Check out. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,vigencia,VIGENCIA 50124968 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 5-15 AGOSTO 5012,erla.ulloa@officemax.com.mx | Mecánica | 14142 CHECK OUT SKU | DESCRIPCION | PROMO | VIGENCIA 50124968 | LETRERO MOVIL COLGANTE BABYSHOWER | 30% | 5-15 AGOSTO 50124843 | GLOBO MET HAPPY BDAY 56IN | 30% | 5-15 AGOSTO 50128398 | GLOBO MET SATINADO 28
9506,Promociones\AGOSTO\9506__Compras y max - Hasta 70_ de desc en Check out Agosto 24.doc,AGOSTO,hasta el,hasta el 31 de agosto,cias. Comparto listado de descuentos para el departamento de Check out. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento cor
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,dd al dd mes yyyy,05 AL 31 DE AGOSTO 2024,tamento de Accesorios Escritorio. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,dd-dd mes yyyy,5-15 AGOSTO,| SKU | DESCRIPCION | PROMO | VIGENCIA 50125378 | REVISTERO DE CARTON KRAFT | 30% | 5-15 AGOSTO 50102474 | PORTA DIPLOMA 8.5X11 | 70% | 5-15 AGOSTO 50125370 | PORTALETRERO ACRILICO
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,vigencia,vigencia hasta el 31 de agosto 2024,s. Comparto listado de descuentos para el departamento de Accesorios Escritorio. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspo
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,vigencia,Vigencia: 05 AL 31 DE AGOSTO 2024,a el departamento de Accesorios Escritorio. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,vigencia,VIGENCIA 50125378 | REVISTERO DE CARTON KRAFT | 30% | 5-15 AGOSTO 5010,DE ESCRITORIO | MECANICA ACCESORIOS DE ESCRITORIO | | | SKU | DESCRIPCION | PROMO | VIGENCIA 50125378 | REVISTERO DE CARTON KRAFT | 30% | 5-15 AGOSTO 50102474 | PORTA DIPLOMA 8.5X11 | 70% | 5-15 AGOSTO 50125370 | PORTALETRERO ACRILICO DE 6
9507,Promociones\AGOSTO\9507_Compras y max - Hasta 70_ de desc en Accs Escritorio Agosto24.doc,AGOSTO,hasta el,hasta el 31 de agosto,to listado de descuentos para el departamento de Accesorios Escritorio. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento cor
9508,Promociones\AGOSTO\9508_Compras y max - Hasta 70_ de desc en Seguridad y Mtto Agosto 24.doc,AGOSTO,dd al dd mes yyyy,05 AL 31 DE AGOSTO 2024,nto de Seguridad y Mantenimiento. Con vigencia hasta el 31 de agosto 2024. Vigencia: 05 AL 31 DE AGOSTO 2024 Exhibición: Colocar stopper de descuento correspondiente. Cualquier duda o comentari
