SKU,tipo_ventana,cambios,cambios_signo,max_abs_delta,mediana_abs_delta
50029838,semestral,24,6,38.46163250727734,5.3070217404409625
50029891,trimestral,23,3,272.3238795702937,7.143087941493663
50029838,trimestral,22,4,8107.2699137241825,23.59816362122458
50046029,trimestral,21,7,200.3715086340505,4.592375724952331
50029905,trimestral,20,4,171.7111747356418,4.956575286737616
50029933,trimestral,20,6,39.3105080066988,2.6121199523843157
50062297,trimestral,20,8,9.006821978516601,2.299882883841443
50066389,trimestral,19,4,15.39786355994564,3.9492283401650665
50062270,mensual,18,12,176.6985658913992,8.054345621654075
50029891,mensual,17,7,715.4646748371098,114.4043059733496
50029905,semestral,17,1,80.46800416801993,3.865638591549464
50062270,trimestral,16,10,28.186108768414524,3.6757950190912974
50062115,trimestral,16,7,24.93723358222488,5.954722427942279
50029933,semestral,16,3,22.185212413997544,1.699016859082127
50046029,semestral,15,5,200.3715086340505,3.014091022661396
50077229,mensual,15,6,134.68367647115392,10.40007075714166
50029891,semestral,15,3,95.54819240047392,7.441152952552311
50061735,trimestral,15,5,38.13403908256047,3.5477032627509644
50099648,trimestral,14,3,138.1657646954908,5.226154912870231
50062115,mensual,14,9,92.17843370961386,19.194195599104084
50077229,trimestral,14,2,9.757200137269692,2.3343283158358883
50106204,trimestral,14,10,3.806129426113454,1.713866659997047
50074151,trimestral,13,6,38.83697128266586,5.190820352577277
50063412,trimestral,13,3,28.578896350884257,3.3650174179991303
50106204,mensual,13,10,23.30286465425383,5.36763333325095
50084493,mensual,13,8,15.88075588861723,2.219780004984093
50062297,semestral,13,2,3.5967121403920994,1.3626807328466888
50029838,mensual,12,4,8590.537667315313,2440.2327451358133
50046029,mensual,12,5,222.92877675863997,7.4870734298902
50029933,mensual,12,7,183.1027960378275,15.123907485485892
50099648,semestral,12,1,115.21985691060878,7.220010815708358
50074151,semestral,12,5,10.5511933602346,2.588135392936936
50115980,trimestral,12,5,7.837485609547034,1.9069741998280763
50085878,trimestral,12,3,5.9550042101224845,1.811968768975119
50099648,mensual,11,3,159.27981254894323,9.685529296447635
50029905,mensual,11,8,149.11506733960047,74.36920277808032
50115975,trimestral,11,6,66.23061944936448,3.442068420056417
50066389,semestral,11,2,7.980537579871372,2.771115346071557
50061735,semestral,11,5,3.800772632786576,2.179357302539116
50115975,semestral,11,8,2.0149115233153365,0.80198740521858
50074151,mensual,10,8,45.21692414020596,12.168343701575196
50063412,mensual,10,5,33.08764412365328,7.726088251463021
50084493,trimestral,10,8,12.216819032169994,0.9395387690119019
50076882,trimestral,10,6,9.014779742522132,2.912896014727602
50115980,semestral,10,5,5.629338622687509,1.2103566017339853
50062270,semestral,10,7,2.8965705182597263,1.1867243636094262
50066389,mensual,9,6,52.32758939991457,18.04403948328963
50062115,semestral,9,4,13.898698290339288,4.5968821403115605
50085878,semestral,9,5,3.9315475310793055,1.5270282387805385
50063412,semestral,8,3,23.68233578941243,3.1791118530381155
50076882,semestral,8,4,11.81773062134488,3.859518704789763
50115980,mensual,7,3,17.106926181004955,2.0375112994245312
50061735,mensual,7,2,11.1376338214726,5.424551058272997
50076882,mensual,7,3,7.998441097925651,4.882635750513094
50106204,semestral,7,3,2.744596971628936,1.799197287394911
50062297,mensual,6,2,12.826355552015697,5.5470781788625745
50085878,mensual,5,4,9.34516647767881,6.9465999870956265
50115975,mensual,5,3,8.682474737346487,3.233249012833374
50077229,semestral,5,2,4.220059650851711,1.9931907412114465
50084493,semestral,2,2,0.3678233008217441,0.22237144303855327
